zpid,latitude,longitude,cityid,countyid,zipcode,amount
17075400,34292168,-119301910,34543,2061,97081,174530
17075613,34285818,-119277942,34543,2061,97081,410155
17075728,34283891,-119276563,34543,2061,97081,846529
17076087,34282851,-119270437,34543,2061,97081,709000
17076210,34280009,-119268860,34543,2061,97081,420930
17076371,34285792,-119286112,34543,2061,97081,551889
17076648,34280530,-119286855,34543,2061,97081,450000
17076686,34281343,-119285820,34543,2061,97081,482022
17076853,34280670,-119272889,34543,2061,97081,77077
17077980,34282565,-119264698,34543,2061,97081,463588
17078080,34282064,-119263274,34543,2061,97081,58250
17078103,34281332,-119264174,34543,2061,97081,577471
17078502,34278012,-119257047,34543,2061,97083,584025
17078624,34276349,-119258095,34543,2061,97083,404098
17078677,34276822,-119256790,34543,2061,97083,271011
17078692,34277432,-119254581,34543,2061,97083,331202
17078783,34280305,-119260479,34543,2061,97081,123451
17078989,34274617,-119266237,34543,2061,97081,224957
17079209,34273903,-119273825,34543,2061,97081,455949
17079308,34272868,-119266896,34543,2061,97081,199265
17079346,34271590,-119265006,34543,2061,97083,39668
17080022,34268701,-119258436,34543,2061,97083,500000
17080314,34266377,-119251723,34543,2061,97083,115883
17080644,34265569,-119255550,34543,2061,97083,526000
17081456,34267948,-119274407,34543,2061,97081,422029
17081686,34264986,-119271421,34543,2061,97081,494223
17082043,34271079,-119251132,34543,2061,97083,425876
17082157,34280132,-119248487,34543,2061,97083,442892
17082226,34280810,-119248015,34543,2061,97083,447586
17082694,34280298,-119230767,34543,2061,97083,620721
17082901,34276290,-119242263,34543,2061,97083,219085
17083061,34279494,-119236125,34543,2061,97083,146671
17083414,34271564,-119239362,34543,2061,97083,349124
17084238,34265771,-119239590,34543,2061,97083,104881
17084291,34270278,-119234926,34543,2061,97083,158259
17084452,34266077,-119242539,34543,2061,97083,145129
17084552,34266402,-119241564,34543,2061,97083,287634
17084652,34265650,-119240759,34543,2061,97083,118682
17084789,34261845,-119267911,34543,2061,97081,215209
17084958,34256757,-119265841,34543,2061,97081,152908
17085127,34256536,-119264908,34543,2061,97081,1293527
17085396,34258958,-119261956,34543,2061,97081,447184
17085833,34261237,-119269730,34543,2061,97081,56036
17085956,34259634,-119269373,34543,2061,97081,89706
17085979,34258409,-119269386,34543,2061,97081,61112
17086025,34257809,-119269683,34543,2061,97081,1194000
17086301,34283056,-119226317,34543,2061,97083,141895
17086439,34280732,-119222397,34543,2061,97083,68758
17086539,34281888,-119221495,34543,2061,97083,340740
17086562,34281811,-119219956,34543,2061,97083,107169
17086769,34280658,-119218790,34543,2061,97083,329732
17086869,34277720,-119217518,34543,2061,97083,230910
17086969,34281207,-119214064,34543,2061,97083,410792
17087338,34275392,-119223781,34543,2061,97083,367768
17087659,34272867,-119209956,34543,2061,97083,57016
17088082,34276556,-119221434,34543,2061,97083,278937
17088174,34275304,-119218571,34543,2061,97083,391000
17088404,34269771,-119215034,34543,2061,97083,130036
17088641,34269460,-119202935,34543,2061,97083,338015
17088994,34272866,-119198911,34543,2061,97083,239679
17090186,34293297,-119168911,34543,2061,97084,406285
17090585,34297112,-119169130,34543,2061,97084,493000
17090869,34282542,-119189007,34543,2061,97084,628000
17091069,34285504,-119192525,34543,2061,97084,320292
17091092,34285192,-119191602,34543,2061,97084,585000
17091192,34271740,-119178217,34543,2061,97084,275463
17091307,34274024,-119167058,34543,2061,97084,60088
17091430,34275619,-119177647,34543,2061,97084,281767
17091607,34271680,-119175136,34543,2061,97084,316258
17091730,34270896,-119180781,34543,2061,97084,317363
17092083,34272451,-119186108,34543,2061,97084,601000
17092710,34278339,-119193139,34543,2061,97083,534680
17092810,34277542,-119193355,34543,2061,97083,608000
17092856,34280679,-119186013,34543,2061,97084,245123
17092956,34277503,-119185802,34543,2061,97084,253532
17093317,34277441,-119186801,34543,2061,97084,61682
17093555,34280424,-119179472,34543,2061,97084,78559
17093655,34277875,-119177561,34543,2061,97084,252923
17093678,34279050,-119179776,34543,2061,97084,435456
17093778,34279172,-119183740,34543,2061,97084,88590
17093924,34280827,-119184952,34543,2061,97084,203965
17094047,34278824,-119176282,34543,2061,97084,535297
17094138,34285531,-119160781,34543,2061,97084,438590
17094421,34281607,-119161429,34543,2061,97084,59065
17094444,34281330,-119163381,34543,2061,97084,86055
17094690,34277100,-119164000,34543,2061,97084,253000
17094790,34279684,-119168741,34543,2061,97084,323978
17095833,34296168,-119153520,34543,2061,97084,333244
17096600,34338452,-119092803,26965,2061,97113,344774
17096764,34338730,-119084213,26965,2061,97113,56124
17097242,34360608,-119065780,26965,2061,97113,51273
17097342,34361422,-119063209,26965,2061,97113,122445
17098189,34376362,-119064108,26965,2061,97113,258906
17098427,34369474,-119057018,26965,2061,97113,396427
17098496,34368347,-119056979,26965,2061,97113,373097
17098688,34363223,-119054804,26965,2061,97113,84840
17098963,34360139,-119055706,26965,2061,97113,94582
17099221,34354462,-119055994,26965,2061,97113,185197
17099433,34351569,-119055324,26965,2061,97113,161373
17100192,34351086,-119089884,26965,2061,97113,455520
17100268,34343735,-119080682,26965,2061,97113,234634
17100444,34340801,-119079610,26965,2061,97113,47853
17100490,34340074,-119080702,26965,2061,97113,47974
17100559,34341907,-119079090,26965,2061,97113,225477
17100805,34348239,-119087780,26965,2061,97113,364300
17101256,34353550,-119070604,26965,2061,97113,274013
17101279,34353334,-119068130,26965,2061,97113,350000
17101581,34354305,-119060131,26965,2061,97113,113006
17101840,34350637,-119062900,26965,2061,97113,244812
17101878,34350504,-119059027,26965,2061,97113,420000
17102211,34338062,-119078314,26965,2061,97113,217716
17102429,34354313,-119076405,26965,2061,97113,62914
17102621,34351625,-119075146,26965,2061,97113,73752
17102697,34348435,-119071334,26965,2061,97113,182140
17102811,34347059,-119072673,26965,2061,97113,41726
17104267,34246429,-119075276,51239,2061,97089,164110
17104359,34245975,-119079885,51239,2061,97089,901654
17104528,34252160,-119065478,51239,2061,97089,177260
17104628,34250741,-119061748,51239,2061,97089,843805
17105313,34284640,-119001951,34037,2061,97119,960894
17105550,34271805,-118987939,34037,2061,97119,710970
17105754,34239497,-119090265,51239,2061,97089,664968
17106426,34263258,-119221210,34543,2061,97083,140528
17106526,34263183,-119220623,34543,2061,97083,208000
17106626,34262643,-119223263,34543,2061,97083,135862
17106726,34261930,-119220746,34543,2061,97083,208000
17107650,34276838,-119151907,34543,2061,97084,329861
17107796,34276926,-119149716,34543,2061,97084,505000
17108119,34273394,-119158516,34543,2061,97084,149134
17108219,34276144,-119154821,34543,2061,97084,482000
17108342,34275276,-119162139,34543,2061,97084,208603
17108365,34275603,-119161435,34543,2061,97084,304002
17108511,34270372,-119164761,34543,2061,97084,174968
17108803,34272119,-119159405,34543,2061,97084,269752
17108926,34270722,-119157866,34543,2061,97084,388000
17109097,34262068,-119175094,34543,2061,97084,225540
17109335,34260236,-119175506,34543,2061,97084,343000
17109581,34267596,-119166862,34543,2061,97084,323978
17109604,34266578,-119165392,34543,2061,97084,554000
17109704,34267272,-119179853,34543,2061,97084,263019
17109927,34259682,-119191842,34543,2061,97083,467000
17110080,34259438,-119188044,34543,2061,97083,88733
17110449,34263919,-119194216,34543,2061,97083,103605
17110572,34262439,-119192525,34543,2061,97083,206968
17110887,34256165,-119189369,34543,2061,97083,223653
17113479,34268942,-119175585,34543,2061,97084,58046
17114039,34254579,-119202962,34543,2061,97083,234776
17114162,34257288,-119196044,34543,2061,97083,194654
17114793,34261743,-119208051,34543,2061,97083,427000
17115116,34259451,-119202495,34543,2061,97083,84703
17115392,34263041,-119197898,34543,2061,97083,151213
17115515,34261519,-119197562,34543,2061,97083,315000
17115684,34263757,-119209161,34543,2061,97083,270053
17116687,34262138,-119217562,34543,2061,97083,99282
17116787,34261168,-119216673,34543,2061,97083,109732
17117469,34225441,-119193245,13150,2061,97107,187529
17117960,34224679,-119185905,13150,2061,97107,144064
17118074,34227471,-119184914,13150,2061,97107,313311
17118374,34228579,-119190256,13150,2061,97107,173640
17118666,34233843,-119184921,13150,2061,97107,560240
17118689,34234911,-119184371,13150,2061,97107,382535
17118812,34221375,-119178578,13150,2061,97107,225540
17118881,34230394,-119191522,13150,2061,97107,314724
17119334,34229702,-119187831,13150,2061,97107,395089
17119357,34234521,-119187105,13150,2061,97107,345524
17119503,34223171,-119183420,13150,2061,97107,413768
17119701,34226665,-119172035,13150,2061,97107,362000
17119747,34225609,-119174151,13150,2061,97107,45794
17119993,34220183,-119164128,13150,2061,97107,250822
17120193,34223133,-119162181,13150,2061,97107,57184
17120316,34227083,-119166746,13150,2061,97107,102718
17121025,34241722,-119157268,13150,2061,97107,132627
17121171,34239155,-119154081,13150,2061,97107,308491
17122226,34230021,-119166311,13150,2061,97107,390000
17122643,34227135,-119133918,13150,2061,97107,535259
17123393,34239854,-119049704,51239,2061,97089,322163
17123692,34244160,-119041989,51239,2061,97089,506350
17123876,34241335,-119033177,51239,2061,97089,84583
17124022,34242380,-119033922,51239,2061,97089,650735
17124114,34241990,-119038868,51239,2061,97089,594272
17124214,34243663,-119034397,51239,2061,97089,212250
17124337,34237855,-119038455,51239,2061,97089,237947
17124437,34231774,-119089962,51239,2061,97089,244697
17124911,34232113,-119098828,51239,2061,97089,1463452
17125561,34241552,-119030770,51239,2061,97089,504780
17125691,34246139,-119027708,51239,2061,97089,271682
17125829,34240014,-119024793,51239,2061,97089,289609
17126075,34245900,-119024000,51239,2061,97089,68925
17126212,34248246,-119045209,51239,2061,97089,646000
17126265,34250788,-119040824,51239,2061,97089,104578
17126991,34223829,-119072641,51239,2061,97089,345000
17127280,34234795,-119053671,51239,2061,97089,455448
17128017,34237927,-119059648,51239,2061,97089,488506
17128728,34215717,-118996641,51239,2061,97091,354952
17129139,34217515,-118999265,51239,2061,97091,319699
17129305,34224075,-119011603,51239,2061,97091,138831
17129405,34224932,-119012897,51239,2061,97091,235590
17130664,34260199,-118999925,34037,2061,97119,337714
17130809,34219641,-119035802,51239,2061,97089,21380
17131342,34215996,-119041025,51239,2061,97089,261709
