zpid,rooms,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount
12171147,0,0,0,,2098,5927,34171205,-118131784,1929,43809
12188547,0,0,0,,1377,3251,33976720,-118268917,1923,47752
12195547,0,0,0,,2649,5602,33972924,-118288809,1912,152999
12209347,0,0,0,,2440,3000,33955375,-118307766,1947,181354
12211747,0,0,0,,2675,2750,33956700,-118274000,1960,150891
12228547,0,0,0,,1564,,33938538,-118268310,1935,235000
12254347,0,0,0,,1208,6447,33885660,-118290186,1953,44822
12257147,0,0,0,,,91940,33915785,-118271373,,62374
12310147,0,0,0,,,,33954475,-118183468,,2.79E+07
12311747,0,0,0,,10030,17595,33943371,-118199640,1985,3784125
12322547,0,0,0,,,7936,33906779,-118177023,,304150
12360147,0,0,0,,3084,2834,33980399,-118206130,1926,265147
12366747,0,0,0,,2029,6369,33975454,-118164470,1944,370250
12371547,0,0,0,,1902,2471,34014159,-118146081,1951,43607
12378747,0,0,0,,1534,5840,34011495,-118115623,1923,274447
12405147,0,0,0,,,1163,33881947,-118064573,,9
12408747,0,0,0,,,361,33878703,-118087837,,9
12446947,0,0,0,,2875,3776,33874912,-118168701,1947,200590
12476147,0,0,0,,,6500,33874476,-118127752,,235614
12508747,0,3,0,3,9893,19073,33801943,-118157478,2004,1716511
12537947,0,0,0,,171,13002,33770827,-118156513,1973,6817
12549947,0,0,0,,,601,33779270,-118169007,,989
12559547,0,0,0,,203,17359,33773611,-118193771,1960,13954
12559747,0,0,0,,8360,8600,33771212,-118191236,2003,1075840
12560547,0,0,0,,20089,88436,33770013,-118192643,1992,1269187
12592347,0,0,0,,,,33824365,-118303282,,55570
12606547,0,3,3,3,2166,22073,33837000,-118347000,2005,659000
12612547,0,0,0,,3725,11168,33795369,-118318560,,578434
12645947,0,0,0,,,4386,33750912,-118284822,,59927
12649147,0,0,0,,,4648,33729436,-118292194,,23448
12665947,0,0,0,,1464,3717,33835697,-118384037,1962,326096
12682747,0,0,0,,2000,6102,33803768,-118349826,1953,491668
12685947,0,0,0,,8444,5774,33799682,-118388346,1952,1072446
12716947,0,1,3,1,1244,6021,33953559,-118083855,1950,166927
12757147,0,2,3,2,1300,4917,33897134,-118102953,1950,229763
12757947,0,2,3,2,1222,5500,33889894,-118100732,1951,286129
12803347,0,0,0,,4880,36740,33980510,-118049973,1969,222657
12835947,0,0,0,,1012,7897,34016009,-117947459,1921,104435
12838747,0,0,0,,7316,22612,34033862,-117948861,1978,1611044
12881347,0,0,0,,,8220,34064241,-117751671,,234519
12996547,0,0,0,,2082,8757,34089943,-118025720,1950,520000
13026147,0,0,0,,,,34143092,-117883804,,690000
13029947,0,0,0,,43486,63094,34128204,-117874545,1962,3133826
13061547,0,0,0,,,157135,34041235,-117791327,,17648
13113147,0,0,0,,2652,,33984307,-118453193,,1475668
13113347,0,0,0,,935,,33985192,-118452314,,326335
13113547,0,0,0,,1422,,33984350,-118452023,,180370
13114147,0,0,0,,1120,,34680553,-118087153,1981,
13114347,0,0,0,,1488,,34680553,-118087153,1978,
13114547,0,0,0,,1248,,34189273,-118545075,2000,
13114747,0,0,0,,740,,34209694,-118498313,1961,
13114947,0,0,0,,912,,34044283,-117990464,1989,
13115147,0,0,0,,480,,34308900,-118461613,1959,
13115347,0,0,0,,1344,,34276994,-118395527,1981,
13115547,0,0,0,,1152,,34267763,-118406278,1970,
13115747,0,0,0,,2240,,34327059,-118465727,2009,
13115947,0,0,0,,1716,,34327059,-118465727,2010,
13116147,0,0,0,,1152,,34314483,-118476070,1984,
13116347,0,0,0,,1680,,34271503,-118467494,1978,
13116547,0,0,0,,1040,,34245616,-118596393,1968,
13116747,0,0,0,,1248,,34248085,-118582132,1972,
13116947,0,0,0,,1456,,34228588,-118592886,2005,
13117147,0,0,0,,1196,,34233366,-118549198,2000,
13117347,0,0,0,,1152,,34413580,-118459677,1970,
13117547,0,0,0,,1344,,34422603,-118490620,1999,
13117747,0,0,0,,1484,,34422603,-118490620,2005,
13117947,0,0,0,,500,,34371722,-118558041,1964,
13118147,0,0,0,,1120,,34410234,-118461971,1981,
13118347,0,0,0,,2016,,34410234,-118461971,2006,
13118547,0,0,0,,1440,,34422842,-118424483,1991,
13118747,0,0,0,,932,,34418546,-118447357,1983,
13118947,0,0,0,,1248,,34571089,-118065097,1984,
13119147,0,0,0,,840,,34575492,-118067368,1982,
13119347,0,0,0,,800,,34561192,-118046994,1982,
13119547,0,0,0,,1248,,34556011,-118108992,2000,
13119747,0,0,0,,1600,,34647495,-118231883,1977,
13119947,0,0,0,,1248,,34760580,-118167523,1978,
13120147,0,0,0,,1152,,34680513,-118091446,1995,
13120347,0,0,0,,1248,,34706358,-118101844,2005,
13120547,0,0,0,,1248,,34707984,-118083448,2005,
13120747,0,0,0,,1728,,34709046,-118087037,2003,
13120947,0,0,0,,960,,34702455,-118085622,1994,
13121147,0,0,0,,784,,34716989,-118109192,1985,
13121347,0,0,0,,924,,34708502,-118105065,1986,
13121547,0,0,0,,920,,34708502,-118105065,1969,
13121747,0,0,0,,1176,,34448823,-118419423,1992,
13121947,0,0,0,,1056,,34269111,-118463314,1983,
13122147,0,0,0,,1440,,34007975,-117841778,1981,
13122347,0,0,0,,390,,33859167,-118367327,1965,
13122547,0,0,0,,1440,,34351436,-118538253,1989,
13122747,0,0,0,,1680,,34015545,-118085974,1981,
13122947,0,0,0,,1344,,34019770,-118789549,1983,
13123147,0,0,0,,1344,,34007780,-117905626,1969,
13123347,0,0,0,,552,,34061774,-118075048,1974,
13123547,0,0,0,,480,,33798094,-118323741,1978,
13123747,0,0,0,,2496,,34004233,-117850319,1980,
13123947,0,0,0,,616,,33910911,-118298113,1986,
13124147,0,0,0,,1040,,33942163,-118171443,1980,
13124347,0,0,0,,1296,,33906121,-118174218,1994,
13124547,0,0,0,,800,,33894127,-118177435,1987,
13124747,0,0,0,,1008,,33900531,-118147274,1991,
13124947,0,0,0,,1120,,34705741,-118072366,1967,
13125147,0,0,0,,800,,33767215,-118111307,1967,
13125347,0,0,0,,800,,33877007,-118310421,1989,
13125547,0,0,0,,1440,,33867865,-118221492,1978,
13125747,0,0,0,,1792,,33867865,-118221492,1978,
13125947,0,0,0,,1344,,33856461,-118083541,1987,
13126147,0,0,0,,1056,,33829801,-118063545,1990,
13126347,0,0,0,,1120,,33884149,-118168176,2002,
13126547,0,0,0,,1211,,33873158,-118187376,1963,
13126747,0,0,0,,560,,33870913,-118188258,1981,
13126947,0,0,0,,720,,33887682,-118190625,1971,
13127147,0,0,0,,1344,,33820454,-118217277,1981,
13127347,0,0,0,,1440,,33869548,-118262569,1975,
13127547,0,0,0,,960,,33831074,-118244565,1997,
13127747,0,0,0,,1248,,33838340,-118265838,2011,
13127947,0,0,0,,1040,,33869206,-118268576,1978,
13128147,0,0,0,,480,,33832526,-118283500,1982,
13128347,0,0,0,,456,,33828543,-118288255,1990,
13128547,0,0,0,,960,,33809822,-118309254,1974,
13128747,0,0,0,,1536,,33800045,-118293567,1972,
13128947,0,0,0,,960,,33781080,-118299618,1972,
13129147,0,0,0,,728,,33784618,-118250820,1991,
13129347,0,0,0,,860,,33787905,-118329670,1980,
13129547,0,0,0,,1776,,33724619,-118326045,1978,
13129747,0,0,0,,1392,,34052478,-117769754,1972,
13129947,0,0,0,,1080,,34107015,-117859630,1997,
13130147,0,0,0,,1152,,33991203,-117892272,1971,
13130347,0,0,0,,1744,,34238623,-118655270,1981,
13130547,0,0,0,,1152,,34238428,-118660015,1983,
13130747,0,0,0,,1680,,33915599,-118031358,1991,
13130947,0,0,0,,432,,34061123,-118061149,1968,
13131147,0,0,0,,840,,34047198,-118013567,1992,
13131347,0,0,0,,1792,,34031186,-118003857,1990,
13131547,0,0,0,,1344,,34031186,-118003857,1971,
13131747,0,0,0,,1120,,33990153,-117881843,1980,
13131947,0,0,0,,1344,,34110741,-117745979,1990,
13132147,0,0,0,,1780,,34042184,-117750828,1989,
13132347,0,0,0,,784,,34106128,-117741572,1968,
13132547,0,0,0,,840,,34093087,-117758576,1971,
13132747,0,0,0,,1440,,34104010,-117832104,1992,
13132947,0,0,0,,1176,,34100336,-117821514,2006,
13133147,0,0,0,,1344,,34097300,-117830650,1969,
13133347,0,0,0,,1440,,34114031,-117782191,1976,
13133547,0,0,0,,1440,,34105887,-117841113,1971,
13133747,0,0,0,,960,,34104778,-117863530,1979,
13133947,0,0,0,,784,,34098516,-117909131,1991,
13134147,0,0,0,,600,,34093048,-117870154,1986,
13134347,0,0,0,,960,,34140750,-117984895,1988,
13134547,0,0,0,,1248,,34094771,-118030187,1972,
13134747,0,0,0,,960,,34113493,-117912914,1984,
13134947,0,0,0,,1344,,34109389,-117878184,1968,
13135147,0,0,0,,1440,,34133520,-117879368,1975,
13135347,0,0,0,,960,,34130178,-117833788,1981,
13135547,0,0,0,,1536,,34111966,-117755447,1973,
13135747,0,0,0,,1776,,34115061,-117752634,1976,
13135947,0,0,0,,1596,,34046387,-117815445,1999,
13136147,0,0,0,,1040,,34021582,-117915892,1989,
13136347,0,0,0,,1512,,34024753,-117915266,1998,
13136547,0,0,0,,1440,,33856782,-118220772,1982,
13136747,0,0,0,,1344,,33856782,-118220772,1980,
13136947,0,0,0,,1440,,33856782,-118220772,1980,
13137147,0,0,0,,1456,,34621824,-118224390,1999,
13137347,0,0,0,,1056,,34619963,-118221259,2003,
13137547,0,0,0,,1120,,34619963,-118221259,1985,
13137747,0,0,0,,1792,,34316857,-118401876,1989,
13137947,0,0,0,,1200,,34558548,-118109732,1985,
13138147,0,0,0,,1152,,33930195,-118229419,1977,
13138347,0,0,0,,1036,,34428643,-118482122,2002,70000
13138547,0,0,0,,1311,,34429346,-118485725,1992,77400
13871747,0,2.5,3,2,1821,2442,33863685,-117938506,2013,529869
13951347,0,3.5,4,3,2684,3510,33748083,-117948108,2014,635302
13963347,0,2.5,3,2,2284,3398,33687181,-117753231,2014,920319
14097747,0,0,0,,15341,32281,33800071,-118070627,1981,1598867
14281747,0,0,0,,,,33646579,-117902609,,649273
14310947,0,3,4,3,2642,3663,33659879,-117808611,2013,1401383
14356347,0,0,0,,,,33686633,-117751314,,933060
14358547,0,0,0,,,,33696485,-117724943,,1671510
14358747,0,3,4,3,2536,4554,33700729,-117727933,2014,994000
14459947,0,2,2,2,1970,3856,33525974,-117621817,2013,628108
14460147,0,0,0,,,,33528291,-117624187,,858628
14514547,0,0,0,,,,33746500,-117925000,,7498
14515347,0,0,0,,,,33746100,-117909000,,39814
14518947,0,0,0,,,,33799700,-117990000,,20255
14527747,0,0,0,,,,33726650,-117808465,,117794
14591347,0,0,0,,,,33827543,-117994994,,14674
14609147,0,0,0,,,,33863571,-117939666,,473260
14618747,0,3.5,3,3,1888,,33683239,-117758697,2014,679800
14633147,0,0,0,,,,33695945,-117729931,,852990
14636347,0,2.5,3,2,1739,,33702604,-117734868,2012,645869
14639947,0,3,4,3,2245,,33905285,-117844108,2014,630347
14683147,0,2.5,3,2,1777,,33706165,-117744016,2014,664593
14707547,0,0,0,,,,33723568,-118051714,,162926
14723547,0,4,4,4,2380,,33736471,-117755999,2014,385323
14737547,0,3,3,3,1537,,33669079,-117672715,2014,528814
14748947,0,0,0,,,,33621178,-117879309,,3699630
14755747,0,0,0,,,,33910143,-117847490,,730239
14762147,0,2.5,4,2,2522,,33634949,-117832340,2012,578666
17061147,0,0,0,,,892544,34430592,-119158001,,563489
17099147,0,0,0,,3733,7125,34355400,-119060000,1925,525000
17257947,0,0,0,,,3750,34260898,-118671161,,27945
17276347,0,0,0,,3280,7750,34167903,-118834113,1960,91722
17303147,0,0,0,,1440,,34422767,-119291147,1974,
17303347,0,0,0,,1368,,34429402,-119289053,1971,
17304947,0,0,0,,900,,34262892,-119240051,1973,
17306947,0,0,0,,1344,,34164815,-119137948,1971,
17307347,0,0,0,,,,34192481,-119174775,1967,
17307547,0,0,0,,660,,34164018,-119149643,1969,
17308947,0,0,0,,1248,,34196427,-118958804,1970,
17309547,0,0,0,,1296,,34268764,-118671073,1975,
17310147,0,0,0,,,,34270215,-118691763,1968,
17311347,0,0,0,,1536,,34339245,-119075181,1976,
76914147,0,4,4,4,5044,96580,34153915,-118480682,1944,4000000
76914347,0,1,2,1,725,5649,34274964,-118437079,1953,37548
76914547,0,1,1,1,693,,34410721,-118559634,1989,176899
76914747,0,2,4,2,2143,5063,34659491,-118394593,1984,209415
76914947,0,0,0,,,,33913286,-118376591,,7636050
76915147,0,0,0,,,7491,34029608,-118388946,,2305418
76916747,0,2,2,2,1018,,34087460,-117735338,1987,125000
163187347,0,0,0,,,,34145441,-118249047,,
17051828,8,4,4,4,4969,120226,34433200,-119303320,1989,2195000
17052152,0,2,3,2,1800,19323,34464778,-119197656,1932,783000
17052992,4,1,2,1,780,6900,34450686,-119278912,1971,87400
17053038,4,2,2,2,1250,4125,34448639,-119277621,1978,229920
17053061,5,1,2,1,1404,7500,34450089,-119277534,1950,309132
17053543,7,2,3,2,1505,10383,34437502,-119265201,1961,595706
17054185,6,2,3,2,1181,13539,34437002,-119293151,1961,60087
17054285,7,3,4,3,2025,10752,34438707,-119295720,1961,444166
17054331,7,2.5,4,2,1620,8531,34440918,-119293909,1967,363915
17054431,7,2.5,3,2,2148,22978,34437618,-119287075,1981,292166
17054492,8,4,4,4,2840,60548,34452715,-119266845,1966,601622
17054889,8,3.5,5,3,3541,63162,34451218,-119254524,1960,919223
17054981,11,5,4,5,3760,42688,34449407,-119254052,1982,859741
17055119,5,2.5,2,2,1590,1462,34445300,-119253000,1984,420000
17055279,5,1,2,1,1089,6661,34450161,-119246690,1929,192470
17055559,3,1.5,1,1,1440,11795,34456617,-119240887,1973,386107
17055582,6,2.5,2,2,2468,53579,34460706,-119242372,1995,510100
17055674,7,4,3,4,2261,40162,34456013,-119239461,1979,755073
17055743,6,2,3,2,1444,7108,34454169,-119237898,1951,429608
17055981,4,1,2,1,1116,8982,34453114,-119236028,1957,227929
17056295,6,2,3,2,1197,8190,34461036,-119236181,1958,283081
17056441,5,2,3,2,1204,9750,34460521,-119233963,1961,420003
17056517,5,1,2,1,1411,13825,34442894,-119251297,1947,219191
17057038,4,1,2,1,1050,10027,34447734,-119217158,1954,149091
17057769,4,2,2,2,1754,23086,34461232,-119180816,1962,840854
17057799,6,2,3,2,1638,197651,34454777,-119197226,1989,643767
17057897,0,1,2,1,924,41400,34437502,-119136748,1950,227394
17058148,5,2,3,2,1023,9000,34411071,-119295022,1956,122060
17058568,6,1,3,1,1056,6600,34400519,-119297939,1929,186051
17059050,5,2,3,2,1583,8000,34419017,-119296402,1961,458473
17059992,6,2.5,3,2,2104,71874,34417202,-119291994,1904,430314
17060107,7,2,4,2,2245,24139,34420282,-119280220,1963,170562
17060906,5,1,3,1,1529,42140,34384437,-119299057,1940,331723
17061227,5,2,2,2,1304,217800,34434330,-119140961,1980,932000
17061468,7,2,4,2,1607,5663,34383313,-119069587,1973,205100
17061867,6,2,3,2,2266,24402,34371870,-119056755,1987,665444
17063007,5,2,3,2,1456,11000,34378340,-118936013,1964,175435
17063769,7,2,3,2,1746,6600,34407670,-118915735,1966,293148
17064022,5,2,3,2,1396,4680,34405131,-118910954,1935,70218
17064099,10,3,6,3,2141,24557,34406451,-118906446,1962,69365
17064252,0,0,0,,2464,15000,34408400,-118923000,1954,273813
17064321,4,1,2,1,552,6766,34406149,-118924197,1928,61367
17064919,5,1,3,1,1080,6730,34398168,-118927194,1955,185307
17064942,5,1,3,1,1080,6728,34397172,-118927384,1955,331000
17067589,0,0,0,,1900,8981,34413587,-118794057,,182579
17067815,3,1,1,1,704,71877,34401933,-118805341,1948,245178
17068109,6,1.5,3,1,1698,2588,34365693,-119448392,1979,282303
17069169,5,1,3,1,1058,5783,34444682,-119249197,1959,183117
17069703,0,0,0,,2808,10020,34370526,-119304482,1961,337829
17069749,0,0,0,,2941,27443,34367300,-119307000,1937,271723
17070219,7,2,3,2,1688,5940,34336537,-119291142,1958,280826
17070342,5,2,3,2,1066,7550,34337843,-119288514,1958,53864
17071090,7,2,4,2,1800,12195,34291735,-119205612,1962,74360
17071573,7,2.5,3,2,1963,19752,34296359,-119207632,1965,314435
17071718,8,2,4,2,1940,7560,34291597,-119215150,1967,721000
17071879,8,2,4,2,1844,11185,34288147,-119223240,1973,693925
17071902,6,2.5,3,2,1706,8709,34287968,-119221256,1974,253756
17072099,6,1,3,1,1176,7018,34297666,-119295692,1928,146117
17072213,7,2,3,2,1379,5650,34293632,-119297088,1935,29492
17072870,5,1,2,1,816,5334,34296002,-119294355,1928,261275
17072893,5,1,3,1,1019,5523,34295141,-119293927,1952,180287
17073008,5,1,2,1,870,6059,34293986,-119292402,1929,171856
17073230,5,1.5,3,1,1040,7800,34310440,-119289439,1963,285718
17073299,5,1,3,1,996,6825,34310575,-119287116,1963,41728
17073391,6,2,4,2,1536,7169,34306420,-119290852,1978,386646
17073537,6,2,3,2,1392,6885,34304890,-119290234,1979,188750
17073637,4,2.5,2,2,1263,,34304496,-119290378,1985,157254
17073783,5,2.5,3,2,1264,1735,34303597,-119287236,1986,191811
17073829,8,2.5,3,2,2162,16830,34301573,-119285757,1988,453597
17073952,4,2,2,2,986,,34305600,-119284000,1989,255000
17074134,8,2.5,4,2,2016,21988,34289045,-119199457,1977,148884
17074257,8,2.5,4,2,3046,15476,34295949,-119203363,1978,246355
17074479,7,1,5,1,1040,6376,34289223,-119294543,1924,142114
17074853,5,1,2,1,862,4666,34287536,-119301879,1926,158988
17075400,5,2,3,2,1306,,34292168,-119301910,1981,174530
17075613,5,2,2,2,1504,15663,34285818,-119277942,1973,410155
17075728,0,0,0,,1469,5500,34283891,-119276563,1927,846529
17076087,5,2,3,2,1144,8059,34282851,-119270437,1957,709000
17076210,7,3,4,3,2408,6250,34280009,-119268860,1925,420930
17076371,6,2,2,2,1675,,34285792,-119286112,1981,551889
17076648,5,1,2,1,950,4165,34280530,-119286855,1930,450000
17076686,7,2.5,3,2,1400,6300,34281343,-119285820,1940,482022
17076853,6,1,2,1,1348,9343,34280670,-119272889,1926,77077
17077980,5,2,3,2,1475,7031,34282565,-119264698,1944,463588
17078080,5,1.5,2,1,1245,11099,34282064,-119263274,1965,58250
17078103,8,3,3,3,2597,5631,34281332,-119264174,1948,577471
17078502,5,1,2,1,1170,5643,34278012,-119257047,1948,584025
17078624,7,2,3,2,1767,5643,34276349,-119258095,1927,404098
17078677,7,2,3,2,1314,5643,34276822,-119256790,1941,271011
17078692,0,0,0,,1500,6960,34277432,-119254581,1954,331202
17078783,0,0,0,,2035,12569,34280305,-119260479,1959,123451
17078989,7,3,5,3,1527,5984,34274617,-119266237,1944,224957
17079209,5,2,3,2,1257,5000,34273903,-119273825,1930,455949
17079308,4,1,2,1,889,5438,34272868,-119266896,1939,199265
17079346,5,1,2,1,1038,6100,34271590,-119265006,1925,39668
17080022,5,2,2,2,1102,6324,34268701,-119258436,1951,500000
17080314,7,2,4,2,1293,5600,34266377,-119251723,1955,115883
17080644,6,2,3,2,1706,6104,34265569,-119255550,1953,526000
17081456,0,0,0,,2028,3388,34267948,-119274407,1968,422029
17081686,5,2,3,2,1465,4000,34264986,-119271421,2005,494223
17082043,5,1,3,1,1239,7316,34271079,-119251132,1952,425876
17082157,6,2,3,2,1445,7200,34280132,-119248487,1957,442892
17082226,6,2,3,2,1766,7586,34280810,-119248015,1956,447586
17082694,8,2.5,4,2,3054,14537,34280298,-119230767,1962,620721
17082901,4,1,2,1,1026,6798,34276290,-119242263,1948,219085
17083061,7,4,4,4,2522,9234,34279494,-119236125,1962,146671
17083414,7,1.5,4,1,1763,6412,34271564,-119239362,1956,349124
17084238,6,2,4,2,1353,7000,34265771,-119239590,1956,104881
17084291,6,2.5,4,2,1737,10318,34270278,-119234926,1958,158259
17084452,4,2,2,2,1178,1306,34266077,-119242539,1965,145129
17084552,5,2,3,2,1459,1306,34266402,-119241564,1965,287634
17084652,4,2,2,2,1178,1306,34265650,-119240759,1965,118682
17084789,9,1.5,4,1,2003,7465,34261845,-119267911,1965,215209
17084958,8,2.5,4,2,2954,4500,34256757,-119265841,1965,152908
17085127,9,4,4,4,3002,4500,34256536,-119264908,,1293527
17085396,0,0,0,,2832,8555,34258958,-119261956,1965,447184
17085833,5,1,3,1,1148,3591,34261237,-119269730,1956,56036
17085956,4,1,2,1,1241,2831,34259634,-119269373,1953,89706
17085979,8,1,4,1,1037,4120,34258409,-119269386,1952,61112
17086025,7,2.5,3,2,2472,3658,34257809,-119269683,1999,1194000
17086301,7,2.5,5,2,2398,7181,34283056,-119226317,1976,141895
17086439,6,2,3,2,1441,7944,34280732,-119222397,1957,68758
17086539,6,2,3,2,1380,7638,34281888,-119221495,1962,340740
17086562,8,2,4,2,2185,19627,34281811,-119219956,1962,107169
17086769,7,2,4,2,1771,9050,34280658,-119218790,1957,329732
17086869,6,2,3,2,1373,7723,34277720,-119217518,1957,230910
17086969,6,3,3,3,1994,7381,34281207,-119214064,1957,410792
17087338,6,2,3,2,1275,12777,34275392,-119223781,1958,367768
17087659,5,2,3,2,1285,6181,34272867,-119209956,1960,57016
17088082,7,2,4,2,1561,9203,34276556,-119221434,1962,278937
17088174,6,2,4,2,1344,3850,34275304,-119218571,1974,391000
17088404,4,2.5,2,2,1399,,34269771,-119215034,1981,130036
17088641,6,2.5,3,2,1429,,34269460,-119202935,1985,338015
17088994,4,1,2,1,777,,34272866,-119198911,1990,239679
17090186,6,2,3,2,1638,7271,34293297,-119168911,1965,406285
17090585,7,2,4,2,1734,7431,34297112,-119169130,1977,493000
17090869,9,3,3,3,2230,8205,34282542,-119189007,1995,628000
17091069,7,2,3,2,1766,6000,34285504,-119192525,1995,320292
17091092,8,2.5,4,2,1866,6000,34285192,-119191602,1995,585000
17091192,6,2,4,2,1581,11500,34271740,-119178217,1964,275463
17091307,6,2,4,2,1669,11710,34274024,-119167058,1964,60088
17091430,7,2.5,5,2,1718,7275,34275619,-119177647,1964,281767
17091607,7,3,4,3,1988,8400,34271680,-119175136,1964,316258
17091730,9,3.5,5,3,2470,7056,34270896,-119180781,1965,317363
17092083,8,3,4,3,2457,5533,34272451,-119186108,1986,601000
17092710,9,3,4,3,2477,6325,34278339,-119193139,1999,534680
17092810,8,3,4,3,2048,6105,34277542,-119193355,1998,608000
17092856,6,2,3,2,1244,7920,34280679,-119186013,1959,245123
17092956,6,2,3,2,1244,7920,34277503,-119185802,1959,253532
17093317,7,2,4,2,1550,6159,34277441,-119186801,1963,61682
17093555,8,3,4,3,1854,6386,34280424,-119179472,1968,78559
17093655,7,2,3,2,1502,6437,34277875,-119177561,1972,252923
17093678,7,2.5,4,2,2343,6739,34279050,-119179776,1968,435456
17093778,7,2.5,5,2,2083,8886,34279172,-119183740,1968,88590
17093924,7,2,3,2,1502,6300,34280827,-119184952,1975,203965
17094047,8,3,4,3,2622,6379,34278824,-119176282,1991,535297
17094138,5,2,3,2,1556,14810,34285531,-119160781,1960,438590
17094421,5,2,3,2,1359,6060,34281607,-119161429,1973,59065
