zpid,latitude,longitude,cityid,countryid,zipcpde,amount
11129581,34457181,-118538763,54311,3101,96377,399000
11129781,34455077,-118536064,54311,3101,96377,164407
11129904,34452251,-118539003,54311,3101,96377,357108
11130004,34452181,-118535714,54311,3101,96377,352720
11130142,34366575,-118554089,54311,3101,96352,443691
11130365,34365578,-118548068,54311,3101,96352,282434
11130464,34377633,-118560458,54311,3101,96352,212132
11130487,34377309,-118558682,54311,3101,96352,175890
11130587,34376457,-118557246,54311,3101,96352,178020
11130656,34376238,-118560546,54311,3101,96352,226794
11131551,34373852,-118565406,,3101,96395,553900
11131574,34371714,-118564840,,3101,96395,244495
11131643,34373099,-118568524,,3101,96395,503099
11131843,34390097,-118586077,,3101,96395,481000
11131943,34388066,-118580495,,3101,96395,266369
11132535,34385781,-118584521,,3101,96395,442840
11132635,34385084,-118588324,,3101,96395,477688
11132965,34388000,-118577000,,3101,96395,229919
11133065,34387502,-118577585,,3101,96395,355516
11133188,34385131,-118578341,,3101,96395,255700
11133288,34389500,-118588000,,3101,96395,321768
11133557,34391809,-118595059,,3101,96395,424234
11133626,34395031,-118591601,,3101,96395,471897
11133987,34394400,-118586466,,3101,96395,343153
11134282,34376437,-118571627,,3101,96395,705800
11134597,34384521,-118594110,,3101,96395,383385
11137387,34367907,-118531201,54311,3101,96352,1208347
11137433,34370672,-118532185,54311,3101,96352,557380
11137479,34369651,-118534454,54311,3101,96352,496422
11137899,34359313,-118540192,54311,3101,96352,574574
11137922,34359833,-118540056,54311,3101,96352,452538
11137945,34364708,-118543351,54311,3101,96352,618000
11137968,34365099,-118543328,54311,3101,96352,606769
11139026,34376523,-118543667,54311,3101,96352,382273
11139217,34373319,-118534610,54311,3101,96352,394535
11139469,34372976,-118541841,54311,3101,96352,316323
11139891,34371285,-118534727,54311,3101,96352,472570
11140216,34378747,-118523434,54311,3101,96352,124248
11140527,34383265,-118516036,54311,3101,96352,586076
11140740,34368700,-118510000,54311,3101,96352,176769
11141250,34378100,-118511000,54311,3101,96352,215500
11142135,34390528,-118524386,54311,3101,96352,724966
11143129,34402763,-118483611,54311,3101,96352,287531
11143252,34404499,-118486053,54311,3101,96352,326393
11143500,34406612,-118485933,54311,3101,96374,355487
11143523,34417227,-118487253,54311,3101,96374,249061
11143623,34416110,-118483558,54311,3101,96374,300888
11143723,34414222,-118482891,54311,3101,96374,297132
11144269,34420900,-118489000,54311,3101,96374,224000
11144392,34420900,-118489000,54311,3101,96374,219919
11144515,34418400,-118489000,54311,3101,96374,130636
11144615,34418400,-118489000,54311,3101,96374,145330
11144684,34402515,-118531118,54311,3101,96373,339657
11144784,34401016,-118531902,54311,3101,96373,507700
11144853,34400707,-118526823,54311,3101,96373,321502
11144976,34398920,-118477858,54311,3101,96352,307289
11145337,34398300,-118482000,54311,3101,96352,247000
11145414,34416800,-118491000,54311,3101,96374,218274
11145514,34416800,-118491000,54311,3101,96374,154726
11146618,34435901,-118404738,54311,3101,96401,161428
11146864,34431890,-118404007,54311,3101,96401,470900
11146987,34429086,-118413502,54311,3101,96401,284612
11147110,34430554,-118411500,54311,3101,96401,273803
11147210,34431093,-118407997,54311,3101,96401,217216
11147379,34435082,-118406036,54311,3101,96401,312505
11147899,34424471,-118426441,54311,3101,96401,320000
11147991,34428207,-118427825,54311,3101,96401,249050
11148264,34430712,-118426662,54311,3101,96401,141308
11148633,34426960,-118432878,54311,3101,96401,353541
11148733,34433290,-118428880,54311,3101,96401,275810
11152532,34400644,-118469283,54311,3101,96352,147591
11152724,34395152,-118469636,54311,3101,96352,252924
11152816,34396196,-118471445,54311,3101,96352,151677
11153008,34392813,-118477679,54311,3101,96352,325439
11153115,34402100,-118464000,54311,3101,96352,209143
11153215,34402200,-118467000,54311,3101,96352,172440
11153537,34403500,-118467000,54311,3101,96352,285594
11154037,34415100,-118446000,54311,3101,96401,153907
11154481,34421700,-118434605,54311,3101,96401,266625
11154595,34422477,-118439459,54311,3101,96401,515000
11154818,34422400,-118449000,54311,3101,96401,200000
11155418,34415100,-118447000,54311,3101,96401,270000
11155518,34415000,-118449000,54311,3101,96401,141087
11156078,34406300,-118452000,54311,3101,96401,181218
11156524,34314416,-118370287,,3101,96368,97256
11157205,34394303,-118409249,54311,3101,96401,1100400
11157771,34442614,-118507951,54311,3101,96373,292080
11157863,34442691,-118509611,54311,3101,96373,380000
11158231,34430655,-118529998,54311,3101,96373,155361
11159747,34389300,-118562000,54311,3101,96378,175807
11159847,34389300,-118562000,54311,3101,96378,158095
11159947,34390032,-118559352,54311,3101,96378,327000
11160223,34382159,-118557305,54311,3101,96378,305801
11160505,34456677,-118388222,54311,3101,96401,167611
11160780,34441932,-118388864,54311,3101,96401,250174
11160872,34443408,-118392597,54311,3101,96401,173787
11160972,34445547,-118396574,54311,3101,96401,368212
11161095,34445456,-118392011,54311,3101,96401,448280
11161202,34446705,-118389857,54311,3101,96401,382000
11161225,34449298,-118388979,54311,3101,96401,295353
11161663,34449812,-118394426,54311,3101,96401,368745
11161763,34443803,-118388761,54311,3101,96401,442000
11161909,34439149,-118386182,54311,3101,96401,396010
11161955,34441973,-118383404,54311,3101,96401,375816
11162101,34435289,-118381430,54311,3101,96401,425375
11162865,34388737,-118537141,54311,3101,96352,316295
11163046,34384280,-118534655,54311,3101,96352,293150
11163183,34381755,-118536100,54311,3101,96352,228143
11163942,34387033,-118545476,54311,3101,96378,294623
11164241,34385932,-118555546,54311,3101,96378,555888
11164571,34381133,-118554625,54311,3101,96378,338508
11164694,34388307,-118550150,54311,3101,96378,393327
11164840,34393443,-118557101,54311,3101,96378,365165
11165032,34392876,-118552576,54311,3101,96378,175734
11165055,34391884,-118551008,54311,3101,96378,550000
11165224,34389767,-118552832,54311,3101,96378,367984
11165247,34389113,-118555567,54311,3101,96378,166167
11165393,34392786,-118558594,54311,3101,96378,313429
11165653,34393843,-118549146,54311,3101,96378,227966
11165799,34394365,-118547701,54311,3101,96378,271013
11166160,34398760,-118542766,54311,3101,96378,71271
11166260,34389280,-118543397,54311,3101,96378,371010
11166890,34403236,-118541369,54311,3101,96378,339825
11166990,34402618,-118540679,54311,3101,96378,356992
11167013,34404466,-118543487,54311,3101,96378,356200
11167205,34406150,-118547691,54311,3101,96378,313119
11167351,34404274,-118544679,54311,3101,96378,349775
11167497,34407542,-118541626,54311,3101,96378,354894
11167932,34396464,-118557771,54311,3101,96378,302891
11168039,34409047,-118550883,54311,3101,96378,398140
11168185,34410180,-118543165,54311,3101,96378,228999
11168231,34411665,-118545382,54311,3101,96378,238078
11168331,34412284,-118547796,54311,3101,96378,357109
11168354,34411098,-118547434,54311,3101,96378,545688
11169022,34400700,-118562000,54311,3101,96378,376479
11169122,34397662,-118563988,54311,3101,96378,437060
11169482,34412300,-118552000,54311,3101,96378,225740
11169805,34403000,-118553000,54311,3101,96378,280000
11169905,34403000,-118553000,54311,3101,96378,185196
11169974,34407904,-118558857,54311,3101,96378,742954
11170542,34405000,-118557000,54311,3101,96378,206457
11170742,34410700,-118561000,54311,3101,96378,195765
11170842,34410700,-118561000,54311,3101,96378,198613
11170988,34410700,-118561000,54311,3101,96378,285000
11171088,34410700,-118561000,54311,3101,96378,218300
11171188,34410700,-118561000,54311,3101,96378,218300
11171288,34411900,-118563000,54311,3101,96378,159847
11171388,34411900,-118563000,54311,3101,96378,153577
11172709,34404100,-118470000,54311,3101,96352,94057
11172832,34403500,-118472000,54311,3101,96352,150000
11172955,34402100,-118472000,54311,3101,96352,154000
11173078,34402069,-118470708,54311,3101,96352,892
11173193,34403164,-118478734,54311,3101,96352,266794
11173639,34406230,-118481464,54311,3101,96374,511000
11173662,34407296,-118477276,54311,3101,96374,457000
11174226,34491179,-118622957,10734,3101,96398,302000
11174249,34491133,-118620630,10734,3101,96398,223776
11174415,34489987,-118626237,10734,3101,96398,194909
11174761,34502730,-118628762,10734,3101,96398,250003
11175217,34504125,-118629871,10734,3101,96398,196528
11175340,34506383,-118635862,10734,3101,96398,380203
11175463,34487810,-118630618,10734,3101,96398,322837
11175486,34487467,-118635622,10734,3101,96398,404369
11175586,34484222,-118636448,10734,3101,96398,391374
11176055,34474327,-118626279,10734,3101,96398,450827
11176178,34471224,-118628929,10734,3101,96398,317140
11176301,34472767,-118630456,10734,3101,96398,405266
11176478,34469977,-118634349,10734,3101,96398,409210
11176647,34502766,-118617609,10734,3101,96398,435000
11176816,34505298,-118623755,10734,3101,96398,358612
11176839,34505454,-118619624,10734,3101,96398,404742
11176862,34506680,-118622803,10734,3101,96398,537944
11177658,34449372,-118618681,10734,3101,96398,437059
11178147,34448580,-118621435,10734,3101,96398,214981
11178193,34448704,-118618615,10734,3101,96398,244634
11179711,34295078,-118540295,12447,3101,96356,432540
11179811,34290531,-118535806,12447,3101,96356,283915
11179934,34276790,-118533165,12447,3101,96356,258537
11179980,34280109,-118530007,12447,3101,96356,630064
11180080,34281695,-118532645,12447,3101,96356,671058
11180303,34288979,-118534469,12447,3101,96356,489149
11180464,34280970,-118541464,12447,3101,96356,489257
11180587,34281412,-118541094,12447,3101,96356,412516
11180687,34278549,-118537460,12447,3101,96356,115179
11180910,34276066,-118538480,12447,3101,96356,693585
11181056,34289413,-118549704,12447,3101,96356,231757
11181754,34627974,-118197605,40227,3101,97329,310532
11182400,34622333,-118212170,40227,3101,97329,172380
11182500,34622958,-118215928,40227,3101,97329,187504
11182769,34612725,-118187174,40227,3101,97329,251364
11182869,34611923,-118188334,40227,3101,97329,294000
11183061,34617154,-118215601,40227,3101,97329,58088
11183476,34607414,-118182756,40227,3101,97329,159586
11184045,34618732,-118185440,40227,3101,97329,233610
11184145,34617957,-118206205,40227,3101,97329,231000
11184245,34616134,-118185743,40227,3101,97329,283911
11186936,34612596,-118184808,40227,3101,97329,58900
11184300,34610367,-118185074,40227,3101,97329,258200
11184400,34625797,-118216310,40227,3101,97329,275875
11184523,34610623,-118183680,40227,3101,97329,357000
11185014,34623911,-118231508,40227,3101,97329,358611
11187392,34601364,-118151890,40227,3101,97329,181556
11188167,34593447,-118154862,40227,3101,97329,193795
11188190,34596849,-118148637,40227,3101,97329,127050
11188290,34596200,-118148000,40227,3101,97329,108992
11188474,34601442,-118167168,40227,3101,97329,185636
11188597,34598142,-118168144,40227,3101,97329,191000
11188697,34596049,-118166802,40227,3101,97329,198566
11188893,34601671,-118191315,40227,3101,97329,185984
11188993,34601654,-118188240,40227,3101,97329,201432
11189093,34600480,-118185666,40227,3101,97329,210995
11189516,34600255,-118158860,40227,3101,97329,275000
11189739,34599633,-118180875,40227,3101,97329,228955
11189839,34589719,-118161620,40227,3101,97329,236394
11189923,34588609,-118175627,40227,3101,97329,245000
11190023,34600061,-118177331,40227,3101,97329,278500
11190123,34600822,-118163340,40227,3101,97329,193321
11190307,34599771,-118174274,40227,3101,97329,166766
11190407,34598912,-118161945,40227,3101,97329,189746
11190507,34595039,-118172107,40227,3101,97329,202728
11191913,34586362,-118149883,40227,3101,97329,184000
11192013,34585608,-118151148,40227,3101,97329,60739
11192113,34580792,-118153063,40227,3101,97329,194374
11192263,34578982,-118138412,40227,3101,97329,229000
11192386,34577059,-118141855,40227,3101,97329,214492
11192493,34572985,-118138149,40227,3101,97329,150566
11192616,34576248,-118133233,40227,3101,97329,186823
11193146,34578834,-118143368,40227,3101,97329,243000
11193892,34612430,-118150736,40227,3101,97329,183000
11194343,34604564,-118140751,40227,3101,97329,271000
11194681,34610765,-118130880,40227,3101,97329,185000
11195207,34589533,-118121052,40227,3101,97328,74958
11195390,34590402,-118128043,40227,3101,97328,118853
11195572,34600178,-118126804,40227,3101,97328,62318
11195694,34612014,-118128014,40227,3101,97328,134248
11195927,34584446,-118128435,40227,3101,97328,151000
11196552,34583474,-118128035,40227,3101,97328,153000
11197457,34567306,-118123395,40227,3101,97328,95901
11197557,34565457,-118123105,40227,3101,97328,97810
11197657,34562661,-118123012,40227,3101,97328,158000
11198012,34569259,-118126683,40227,3101,97328,194128
11198112,34567785,-118131003,40227,3101,97328,122229
11198258,34564790,-118117766,40227,3101,97328,183000
11198358,34561525,-118118675,40227,3101,97328,144991
11198665,34567698,-118106253,40227,3101,97328,136000
11198834,34569653,-118106221,40227,3101,97328,150800
11198934,34571829,-118099538,40227,3101,97328,36467
11199217,34570018,-118093349,40227,3101,97328,127537
11199317,34564248,-118095038,40227,3101,97328,153648
11199609,34563075,-118095431,40227,3101,97328,185485
11199709,34560960,-118097521,40227,3101,97328,107102
11200001,34562671,-118098950,40227,3101,97328,135930
11200170,34566701,-118100568,40227,3101,97328,193800
11200316,34562128,-118104486,40227,3101,97328,169059
11200680,34576879,-118103472,40227,3101,97328,106553
11200831,34578645,-118100350,40227,3101,97328,68745
11201115,34577011,-118093581,40227,3101,97328,42113
11201548,34582091,-118106329,40227,3101,97328,107400
11201874,34581775,-118095538,40227,3101,97328,121000
11201973,34585888,-118093016,40227,3101,97328,124000
11202165,34582620,-118092537,40227,3101,97328,73771
11202530,34584030,-118076914,40227,3101,97328,189615
11202748,34583600,-118089000,40227,3101,97328,37887
11202871,34573039,-118082167,40227,3101,97328,160844
11203469,34572063,-118081734,40227,3101,97328,153780
11203638,34568071,-118080400,40227,3101,97328,155500
11203738,34565974,-118076838,40227,3101,97328,123000
11203938,34559639,-118075728,40227,3101,97328,96600
11204061,34567117,-118087598,40227,3101,97328,157000
11204107,34567711,-118091698,40227,3101,97328,150500
11204276,34564877,-118089960,40227,3101,97328,112500
11204376,34562375,-118090760,40227,3101,97328,199115
11204883,34561653,-118090794,40227,3101,97328,118617
11204906,34562811,-118087212,40227,3101,97328,208467
11205577,34564852,-118062196,40227,3101,97328,163196
11205700,34567562,-118074023,40227,3101,97328,161500
11206023,34566360,-118067254,40227,3101,97328,107036
11206269,34561366,-118062673,40227,3101,97328,119388
11206761,34566822,-118061686,40227,3101,97328,104809
11206861,34560720,-118059593,40227,3101,97328,150001
11206961,34577207,-118068364,40227,3101,97328,144990
11207084,34571619,-118070151,40227,3101,97328,180997
11207184,34569688,-118074869,40227,3101,97328,29159
11207825,34585331,-118064749,40227,3101,97328,60266
11208094,34582520,-118069182,40227,3101,97328,53695
11208163,34581471,-118070182,40227,3101,97328,67767
11208286,34583515,-118073757,40227,3101,97328,83990
11208977,34587473,-118115225,40227,3101,97328,140246
11209327,34567718,-118041262,40227,3101,97330,148567
11209664,34559020,-118032153,40227,3101,97330,150078
11210062,34560405,-118053217,40227,3101,97330,166011
11210162,34566303,-118042220,40227,3101,97330,135643
11210408,34568225,-118046327,40227,3101,97330,102854
11210508,34569270,-118039960,40227,3101,97330,144990
11210531,34566641,-118040430,40227,3101,97330,140819
11210731,34564413,-118050148,40227,3101,97330,186777
11210900,34569524,-118038766,40227,3101,97330,151903
11211092,34568583,-118034635,40227,3101,97330,157233
11211192,34562499,-118050802,40227,3101,97330,187502
11211707,34563546,-118032558,40227,3101,97330,213000
11211930,34574135,-118056987,40227,3101,97330,156000
11212176,34564314,-118026629,40227,3101,97330,114959
11212276,34564329,-118030024,40227,3101,97330,120002
11212451,34567735,-118026613,40227,3101,97330,208500
11212551,34571172,-118025998,40227,3101,97330,178022
11212651,34570924,-118039038,40227,3101,97330,131563
11212974,34574579,-118053299,40227,3101,97330,192799
11213174,34572200,-118053000,40227,3101,97330,136800
11213274,34559561,-118048049,40227,3101,97330,135395
11213581,34560283,-118027452,40227,3101,97330,238937
11213904,34574495,-118048833,40227,3101,97330,191000
11214004,34564997,-118023657,40227,3101,97330,219000
11214104,34574906,-118032588,40227,3101,97330,162240
11214242,34558691,-118040155,40227,3101,97330,219000
11215790,34560253,-118018800,40227,3101,97330,185000
11218080,34581809,-117972283,40227,3101,97330,74999
11218661,34582297,-117961278,40227,3101,97344,65512
11219331,34578074,-117866146,40227,3101,97344,154568
11219421,34585295,-117855601,40227,3101,97344,126000
11219444,34586553,-117848885,40227,3101,97344,114708
11225404,34563942,-117939312,29189,3101,97323,81337
11226431,34564320,-117958324,29189,3101,97323,193795
11226531,34559515,-117954707,29189,3101,97323,136159
11226699,34553348,-117964885,29189,3101,97323,161731
11227707,34556638,-117960907,29189,3101,97323,148567
11227776,34539790,-117972788,29189,3101,97323,151633
11227921,34536185,-117960947,29189,3101,97323,134377
11228340,34530720,-117967825,29189,3101,97323,90963
11228363,34528915,-117968815,29189,3101,97323,101018
11230147,34531809,-117983030,29189,3101,97323,110618
11230358,34518081,-117982191,29189,3101,97323,65631
11230494,34520002,-117991340,29189,3101,97323,148082
11230742,34526287,-117997981,29189,3101,97323,146304
11230811,34524853,-117996186,29189,3101,97323,125478
11231463,34529144,-118030037,40227,3101,97330,307287
11231630,34551901,-118039572,40227,3101,97330,169000
11231753,34551233,-118036244,40227,3101,97330,182000
11231853,34550598,-118034449,40227,3101,97330,170000
11231930,34550610,-118031227,40227,3101,97330,100260
11232326,34553531,-118031643,40227,3101,97330,130051
11232572,34553825,-118028035,40227,3101,97330,133523
11233833,34548111,-118072716,40227,3101,97328,272000
11233971,34556599,-118069300,40227,3101,97328,99283
11233994,34556391,-118070764,40227,3101,97328,184000
11234294,34554393,-118065044,40227,3101,97328,198895
11234517,34556395,-118068332,40227,3101,97328,140658
11234663,34557176,-118074201,40227,3101,97328,211000
11234763,34553713,-118071108,40227,3101,97328,156708
11235070,34553618,-118076143,40227,3101,97328,133000
11235393,34544848,-118074813,40227,3101,97328,182284
11235923,34543353,-118061697,40227,3101,97328,134251
11236092,34545320,-118066630,40227,3101,97328,265000
11236192,34554918,-118061077,40227,3101,97328,248000
11236561,34555571,-118056403,40227,3101,97330,222000
11236776,34546227,-118052765,40227,3101,97330,254995
11237840,34538346,-118108910,40227,3101,97328,212146
11238268,34547771,-118081332,40227,3101,97328,107143
11238491,34551514,-118081436,40227,3101,97328,97337
11238929,34556733,-118086598,40227,3101,97328,146078
11239275,34554849,-118096933,40227,3101,97328,156763
11239398,34555495,-118094630,40227,3101,97328,153690
11239521,34552181,-118095564,40227,3101,97328,167413
11239644,34551360,-118095249,40227,3101,97328,239000
11240448,34548160,-118139044,40227,3101,97329,287327
11242083,34496377,-118143391,16677,3101,97298,245111
11242128,34486910,-118155655,16677,3101,97298,230910
11242188,34492078,-118139299,16677,3101,97298,260739
11242577,34461000,-118156000,16677,3101,97298,66045
11242592,34458822,-118158821,16677,3101,97298,652141
11242803,34460547,-118174261,16677,3101,97298,219470
11244352,34428864,-117884691,13232,3101,97331,162405
11244771,34468699,-117845274,25621,3101,97324,119878
11244974,34471455,-117843181,25621,3101,97324,261000
11247826,34619693,-117848997,5534,3101,97318,48326
11247864,34618820,-117851847,5534,3101,97318,100000
11248024,34630494,-117847221,5534,3101,97318,110000
11248602,34625820,-117839219,5534,3101,97318,107074
11248907,34626375,-117823372,5534,3101,97318,32216
11249288,34618296,-117810241,5534,3101,97318,86499
11249463,34623398,-117820243,5534,3101,97318,71074
11249707,34602162,-117818992,40227,3101,97344,76505
11250057,34614125,-117814062,40227,3101,97344,70166
11250080,34610710,-117813303,40227,3101,97344,102000
11251123,34594975,-117842066,40227,3101,97344,129572
11251268,34597739,-117834490,40227,3101,97344,86646
11259676,34642408,-118226804,5534,3101,97319,227000
11259699,34642144,-118231004,5534,3101,97319,224934
11260164,34640749,-118209712,5534,3101,97319,130379
11260370,34636844,-118215182,5534,3101,97319,220625
11260416,34636219,-118209553,5534,3101,97319,116005
11260439,34635962,-118212327,5534,3101,97319,279010
11260485,34633238,-118213799,5534,3101,97319,315000
11260508,34631425,-118214393,5534,3101,97319,231512
11261396,34655257,-118223402,5534,3101,97319,146927
11261419,34653429,-118222969,5534,3101,97319,91292
11261442,34653429,-118224491,5534,3101,97319,85278
11261511,34650598,-118223839,5534,3101,97319,86275
11261603,34646636,-118222290,5534,3101,97319,124872
11262014,34655452,-118221478,5534,3101,97319,147385
11262260,34653680,-118229000,5534,3101,97319,161536
11262848,34646110,-118214246,5534,3101,97319,418039
11263016,34652344,-118209731,5534,3101,97319,125559
11265251,34656110,-118184692,5534,3101,97319,128878
11265320,34657927,-118184451,5534,3101,97319,90301
11265889,34653315,-118181719,5534,3101,97319,454000
11265935,34658317,-118179833,5534,3101,97319,188500
11266304,34666337,-118209570,5534,3101,97319,174530
11266479,34668986,-118203218,5534,3101,97319,154469
11266616,34665077,-118192694,5534,3101,97319,92726
11266639,34662879,-118191760,5534,3101,97319,58746
11266739,34663202,-118193615,5534,3101,97319,157330
11267408,34670829,-118215997,5534,3101,97319,179305
11267508,34670250,-118212914,5534,3101,97319,193655
11267990,34639415,-118172013,40227,3101,97329,434001
11268163,34645260,-118208640,5534,3101,97319,276188
11268977,34661032,-118185297,5534,3101,97319,240715
11269076,34664800,-118181000,5534,3101,97319,122000
11269343,34673294,-118177862,5534,3101,97319,280697
11269731,34663129,-118173339,5534,3101,97319,145000
11269890,34667218,-118184606,5534,3101,97319,121073
11269990,34665773,-118186784,5534,3101,97319,105582
11270113,34662214,-118188757,5534,3101,97319,232678
11270336,34666471,-118187302,5534,3101,97319,239695
11270436,34672000,-118185000,5534,3101,97319,92898
11270759,34663520,-118184443,5534,3101,97319,181296
11270882,34669486,-118179586,5534,3101,97319,157380
11270982,34661795,-118174982,5534,3101,97319,156659
11271211,34668405,-118188212,5534,3101,97319,266000
11271280,34668521,-118181082,5534,3101,97319,168000
11275080,34710519,-118163162,5534,3101,97317,125000
11275203,34711929,-118158365,5534,3101,97317,202200
11275349,34706194,-118159931,5534,3101,97317,40950
11275595,34718297,-118152573,5534,3101,97317,189500
11276118,34713752,-118160984,5534,3101,97317,118072
11276218,34713836,-118158043,5534,3101,97317,177211
11276717,34715410,-118148900,5534,3101,97317,87090
11276817,34713519,-118148868,5534,3101,97317,146000
11276917,34711411,-118149455,5534,3101,97317,56985
11277009,34708878,-118149714,5534,3101,97317,62429
11277078,34708148,-118150635,5534,3101,97317,99386
11277132,34711157,-118151703,5534,3101,97317,102028
11277232,34709200,-118155330,5534,3101,97317,92981
11277332,34707439,-118148947,5534,3101,97317,74998
11277493,34706022,-118155096,5534,3101,97317,74998
11277837,34697472,-118150073,5534,3101,97317,45843
11277960,34700047,-118154643,5534,3101,97317,110657
11278060,34702591,-118155300,5534,3101,97317,64258
11278321,34701859,-118160182,5534,3101,97317,129053
11278421,34700199,-118162427,5534,3101,97317,56259
11278620,34699232,-118162452,5534,3101,97317,165084
11278924,34694533,-118150183,5534,3101,97317,72492
11279283,34690211,-118154199,5534,3101,97317,117858
11279375,34695687,-118165849,5534,3101,97319,28509
11279498,34693361,-118167509,5534,3101,97319,88017
11279950,34687336,-118154235,5534,3101,97317,25768
11280172,34683113,-118148235,5534,3101,97317,94510
11280195,34682676,-118150622,5534,3101,97317,68771
11280295,34681230,-118151217,5534,3101,97317,116363
11280410,34677572,-118148239,5534,3101,97317,87856
11280962,34688442,-118173489,5534,3101,97319,190097
11281085,34688303,-118176390,5534,3101,97319,176687
11281253,34686521,-118171599,5534,3101,97319,239000
11281616,34661899,-118161442,5534,3101,97317,191878
11281762,34663047,-118156950,5534,3101,97317,71956
11281885,34660900,-118158000,5534,3101,97317,136000
