zpid,rooms,units,airconditiontype,heatsystemtype,buildingquality,pools
11119943,0,1,1,2,4,
11120143,0,1,1,2,4,
11121609,0,1,1,2,4,
11121947,0,1,1,2,4,
11122047,0,1,1,2,4,
11122147,0,1,1,2,4,
11122316,0,1,1,2,4,
11122339,0,1,1,2,4,
11122439,0,1,1,2,4,
11122608,0,1,1,2,4,
11122731,0,1,1,2,4,
11122900,0,1,1,2,4,
11127233,0,1,,2,4,
11127413,0,1,1,2,4,1
11127513,0,1,1,2,4,
11128217,0,1,1,2,12,1
11128812,0,1,1,2,4,1
11128912,0,1,1,2,4,1
11129135,0,1,1,2,4,
11129235,0,1,1,2,4,1
11129335,0,1,1,2,4,1
11129435,0,1,1,2,7,
11129481,0,1,1,2,7,
11129581,0,1,1,2,7,
11129781,0,1,1,2,7,
11129904,0,1,1,2,7,
11130004,0,1,1,2,7,
11130142,0,1,,2,7,
11130365,0,1,1,2,4,
11130464,0,1,1,2,4,
11130487,0,1,1,2,7,1
11130587,0,1,1,2,7,
11130656,0,1,1,2,7,
11131551,0,1,1,2,4,
11131574,0,1,1,2,4,1
11131643,0,1,1,2,4,1
11131843,0,,1,2,4,
11131943,0,1,1,2,4,1
11132535,0,1,1,2,4,
11132635,0,1,1,2,4,
11132965,0,1,1,2,4,1
11133065,0,1,1,2,4,
11133188,0,1,1,2,4,
11133288,0,1,1,2,4,
11133557,0,1,1,2,4,1
11133626,0,1,1,2,4,1
11133987,0,1,1,2,4,
11134282,0,1,1,20,4,
11134597,0,1,1,2,4,
11137387,0,1,,20,4,1
11137433,0,1,,2,7,
11137479,0,1,,2,4,1
11137899,0,1,1,2,4,1
11137922,0,1,1,2,4,
11137945,0,1,1,2,4,1
11137968,0,1,1,2,4,
11139026,0,1,1,2,4,
11139217,0,1,,2,7,
11139469,0,1,1,2,4,
11139891,0,1,1,2,4,1
11140216,0,1,,,4,
11140527,0,1,1,2,4,1
11140740,0,1,1,2,7,1
11141250,0,1,1,2,4,
11142135,0,1,1,2,4,
11143129,0,1,1,2,4,1
11143252,0,1,1,2,4,1
11143500,0,1,1,2,4,
11143523,0,1,1,2,4,
11143623,0,1,1,2,4,
11143723,0,1,1,2,4,1
11144269,0,1,1,2,4,
11144392,0,1,1,2,4,
11144515,0,1,1,2,4,1
11144615,0,1,1,2,4,
11144684,0,1,1,2,4,
11144784,0,1,1,2,4,
11144853,0,1,1,2,4,1
11144976,0,1,1,2,4,
11145337,0,1,1,2,4,
11145414,0,1,1,2,4,
11145514,0,1,1,2,4,
11146618,0,1,1,2,7,1
11146864,0,1,1,2,7,
11146987,0,1,1,2,4,
11147110,0,1,1,2,4,
11147210,0,1,1,2,4,
11147379,0,1,1,2,4,
11147899,0,1,1,2,4,
11147991,0,1,1,2,7,
11148264,0,1,1,2,7,
11148633,0,1,1,2,4,1
11148733,0,1,1,2,7,1
11152532,0,1,,2,7,
11152724,0,1,,2,7,
11152816,0,1,1,2,4,
11153008,0,1,,2,7,1
11153115,0,1,1,2,7,
11153215,0,1,1,2,7,1
11153537,0,1,1,2,7,1
11154037,0,1,1,2,7,1
11154481,0,1,1,2,7,
11154595,0,1,1,2,4,1
11154818,0,1,1,2,7,1
11155418,0,1,1,2,7,1
11155518,0,1,1,2,7,1
11156078,0,1,1,2,7,
11156524,0,1,1,2,7,
11157205,0,1,1,2,1,1
11157771,0,1,1,2,7,
11157863,0,1,,2,7,
11158231,0,1,,2,7,
11159747,0,1,1,2,4,
11159847,0,1,1,2,4,
11159947,0,1,1,2,4,
11160223,0,1,1,2,4,1
11160505,0,1,1,2,7,1
11160780,0,1,1,2,4,
11160872,0,1,,2,7,
11160972,0,1,,2,7,
11161095,0,1,1,2,7,1
11161202,0,1,,2,7,
11161225,0,1,1,2,7,
11161663,0,1,1,2,4,
11161763,0,1,1,2,4,1
11161909,0,1,1,2,4,1
11161955,0,1,1,2,4,
11162101,0,1,1,2,4,
11162865,0,1,,7,7,
11163046,0,2,,,7,
11163183,0,1,,7,7,
11163942,0,1,1,2,7,
11164241,0,1,1,2,4,1
11164571,0,1,1,2,7,
11164694,0,1,1,2,4,
11164840,0,1,1,2,7,
11165032,0,1,1,2,4,
11165055,0,1,1,2,4,
11165224,0,1,1,2,4,1
11165247,0,1,1,2,4,1
11165393,0,1,1,2,7,
11165653,0,1,1,2,7,
11165799,0,1,1,2,7,1
11166160,0,1,1,2,7,
11166260,0,1,1,2,4,
11166890,0,1,1,2,7,
11166990,0,1,1,2,7,
11167013,0,1,1,2,7,
11167205,0,1,1,2,4,1
11167351,0,1,1,2,4,
11167497,0,1,1,2,7,
11167932,0,1,1,2,4,
11168039,0,1,1,2,4,
11168185,0,1,1,2,7,
11168231,0,1,1,2,7,
11168331,0,1,1,2,4,
11168354,0,1,1,2,4,
11169022,0,1,1,2,4,
11169122,0,1,1,2,4,
11169482,0,1,1,2,4,1
11169805,0,1,1,2,4,1
11169905,0,1,1,2,4,1
11169974,0,1,1,2,1,1
11170542,0,1,1,2,4,
11170742,0,1,1,2,7,
11170842,0,1,1,2,7,
11170988,0,1,1,2,7,
11171088,0,1,1,2,7,
11171188,0,1,1,2,7,
11171288,0,1,1,2,4,1
11171388,0,1,1,2,4,1
11172709,0,1,1,2,7,
11172832,0,1,1,2,7,
11172955,0,1,1,2,7,
11173078,0,1,,,,
11173193,0,1,1,2,4,
11173639,0,1,1,2,4,1
11173662,0,1,1,2,4,
11174226,0,1,,,7,
11174249,0,1,,7,7,
11174415,0,1,1,2,7,
11174761,0,1,1,2,7,1
11175217,0,1,1,2,7,
11175340,0,1,1,2,7,
11175463,0,1,1,2,4,
11175486,0,1,1,2,4,
11175586,0,1,1,2,4,1
11176055,0,1,1,2,4,
11176178,0,1,1,2,4,
11176301,0,1,1,2,4,
11176478,0,1,1,2,4,1
11176647,0,1,1,2,4,
11176816,0,1,1,2,4,
11176839,0,1,1,2,4,
11176862,0,1,1,2,4,
11177658,0,1,1,2,4,1
11178147,0,1,1,2,4,
11178193,0,1,1,2,4,
11179711,0,1,1,2,4,1
11179811,0,1,1,2,7,
11179934,0,1,1,2,4,
11179980,0,1,1,2,4,1
11180080,0,1,1,2,4,1
11180303,0,1,1,2,4,1
11180464,0,1,1,2,4,
11180587,0,1,1,2,7,
11180687,0,1,1,2,7,
11180910,0,1,1,2,4,1
11181056,0,1,1,2,4,1
11181754,0,1,1,2,7,
11182400,0,1,1,2,7,
11182500,0,1,1,2,7,
11182769,0,1,1,2,4,
11182869,0,1,1,2,4,1
11183061,0,1,1,2,4,
11183476,0,1,1,2,4,
11184045,0,1,1,2,4,
11184145,0,1,1,2,4,
11184245,0,1,1,2,4,1
11186936,0,1,1,2,4,
11184300,0,1,1,2,4,1
11184400,0,1,1,2,4,1
11184523,0,,1,2,4,
11185014,0,1,1,2,4,1
11187392,0,1,,2,7,
11188167,0,1,1,2,7,
11188190,0,1,1,2,7,
11188290,0,1,1,2,7,1
11188474,0,1,1,2,4,
11188597,0,1,1,2,4,
11188697,0,1,1,2,4,1
11188893,0,1,1,2,4,
11188993,0,1,1,2,4,
11189093,0,1,1,2,4,
11189516,0,1,1,2,4,1
11189739,0,1,1,2,4,
11189839,0,1,1,2,4,1
11189923,0,1,1,2,4,
11190023,0,1,1,2,4,
11190123,0,1,1,2,4,
11190307,0,1,1,2,4,
11190407,0,1,1,2,4,
11190507,0,1,1,2,4,
11191913,0,1,1,2,7,
11192013,0,1,,2,7,
11192113,0,1,1,2,4,
11192263,0,1,1,2,4,
11192386,0,1,1,2,4,
11192493,0,1,1,2,7,
11192616,0,1,1,2,4,
11193146,0,1,1,2,4,
11193892,0,1,,7,7,
11194343,0,1,1,2,4,
11194681,0,1,1,2,4,
11195207,0,1,,7,7,
11195390,0,1,,2,7,
11195572,0,1,,7,7,
11195694,0,1,1,2,7,1
11195927,0,1,1,2,7,
11196552,0,1,1,2,7,
11197457,0,1,,7,7,
11197557,0,1,,7,7,
11197657,0,1,1,2,7,
11198012,0,1,1,2,7,
11198112,0,1,1,2,7,
11198258,0,1,1,2,4,
11198358,0,1,1,2,4,
11198665,0,1,,7,7,
11198834,0,1,,7,7,
11198934,0,1,,7,7,
11199217,0,1,1,2,7,
11199317,0,1,1,2,7,
11199609,0,1,1,2,7,
11199709,0,1,1,2,4,
11200001,0,1,1,2,4,
11200170,0,1,1,2,4,1
11200316,0,1,1,2,4,
11200680,0,1,1,2,7,
11200831,0,1,,7,7,
11201115,0,1,,7,7,
11201548,0,1,,7,4,
11201874,0,1,,7,7,
11201973,0,1,,7,7,
11202165,0,1,,7,7,
11202530,0,1,1,2,7,
11202748,0,1,1,2,7,
11202871,0,1,1,2,4,
11203469,0,1,1,2,7,
11203638,0,1,1,2,7,
11203738,0,1,1,2,7,
11203938,0,1,1,2,7,
11204061,0,1,1,2,4,
11204107,0,1,1,2,7,
11204276,0,1,1,2,7,
11204376,0,1,1,2,7,
11204883,0,1,1,2,7,
11204906,0,1,1,2,4,
11205577,0,1,1,2,7,
11205700,0,1,1,2,7,
11206023,0,1,1,2,7,
11206269,0,1,1,2,7,
11206761,0,1,1,2,7,
11206861,0,1,1,2,7,
11206961,0,1,1,2,4,
11207084,0,1,1,2,4,
11207184,0,1,1,2,4,
11207825,0,1,,7,7,
11208094,0,1,,7,7,
11208163,0,1,,2,7,
11208286,0,1,,7,7,
11208977,0,2,,,7,
11209327,0,1,1,2,4,1
11209664,0,1,1,2,7,1
11210062,0,1,1,2,4,
11210162,0,1,1,2,4,
11210408,0,1,1,2,4,
11210508,0,1,1,2,7,
11210531,0,1,1,2,4,
11210731,0,1,1,2,7,
11210900,0,1,1,2,7,
11211092,0,1,1,2,4,
11211192,0,1,1,2,4,
11211707,0,1,1,2,4,
11211930,0,1,1,2,7,
11212176,0,1,1,2,4,
11212276,0,1,1,2,7,
11212451,0,1,1,2,4,
11212551,0,1,1,2,4,
11212651,0,1,1,2,4,
11212974,0,1,1,2,7,
11213174,0,1,1,2,4,
11213274,0,1,1,2,4,
11213581,0,1,1,2,4,
11213904,0,1,1,2,7,
11214004,0,1,1,2,4,
11214104,0,1,1,2,7,
11214242,0,1,1,2,4,
11215790,0,1,1,2,4,
11218080,0,2,,,7,
11218661,0,1,1,2,7,
11219331,0,1,,7,7,
11219421,0,1,1,2,7,
11219444,0,1,1,2,7,
11225404,0,1,,7,7,
11226431,0,1,1,20,7,
11226531,0,1,1,2,7,
11226699,0,1,1,2,7,
11227707,0,1,1,2,7,
11227776,0,1,1,2,7,
11227921,0,1,1,2,7,
11228340,0,1,,7,7,
11228363,0,1,1,2,7,
11230147,0,1,1,2,7,
11230358,0,1,,,7,
11230494,0,1,1,2,7,
11230742,0,1,,7,7,
11230811,0,1,1,2,7,
11231463,0,1,,2,7,
11231630,0,1,1,2,4,
11231753,0,1,1,2,4,
11231853,0,1,1,2,4,
11231930,0,1,1,2,4,
11232326,0,1,1,2,4,
11232572,0,1,1,2,4,
11233833,0,1,1,2,4,1
11233971,0,1,1,2,7,
11233994,0,1,1,2,7,
11234294,0,1,1,2,4,
11234517,0,1,1,2,7,
11234663,0,1,1,2,7,1
11234763,0,1,1,2,7,
11235070,0,1,1,2,7,
11235393,0,1,1,2,4,
11235923,0,1,1,2,4,
11236092,0,1,1,2,4,
11236192,0,1,1,2,4,
11236561,0,1,1,2,4,
11236776,0,1,1,2,4,
11237840,0,1,1,2,7,
11238268,0,1,1,2,4,
11238491,0,1,1,2,4,
11238929,0,1,1,2,4,
11239275,0,1,1,2,4,
11239398,0,1,1,2,4,
11239521,0,1,1,2,4,
11239644,0,1,1,2,4,1
11240448,0,1,,2,4,
11242083,0,1,1,2,4,
11242128,0,1,1,2,7,
11242188,0,1,,,4,
11242577,0,,,,,
11242592,0,1,1,2,1,
11242803,0,1,1,2,7,
11244352,0,1,1,2,7,
11244771,0,1,1,2,4,
11244974,0,1,1,2,4,
11247826,0,1,1,2,7,
11247864,0,1,1,2,7,
11248024,0,1,1,2,7,
11248602,0,1,1,2,7,
11248907,0,1,1,2,7,
11249288,0,1,,2,7,
11249463,0,1,,2,7,
11249707,0,1,1,2,4,1
11250057,0,1,1,2,7,
11250080,0,1,1,2,7,
11251123,0,1,1,2,7,
11251268,0,1,1,2,7,
11259676,0,1,1,2,4,1
11259699,0,1,,2,4,1
11260164,0,1,,7,7,
11260370,0,1,1,2,4,
11260416,0,1,,7,7,
11260439,0,1,1,2,4,
11260485,0,1,1,2,4,
11260508,0,1,1,2,4,
11261396,0,1,,7,7,
11261419,0,1,,7,7,
11261442,0,1,,,7,
11261511,0,1,,7,7,
11261603,0,1,1,2,7,
11262014,0,1,1,2,4,
11262260,0,1,1,2,4,
11262848,0,1,1,2,4,
11263016,0,1,,7,7,
11265251,0,1,,7,7,
11265320,0,1,1,2,7,
11265889,0,1,1,2,4,
11265935,0,1,1,2,7,
11266304,0,1,1,2,4,
11266479,0,1,1,2,4,
11266616,0,1,,7,7,
11266639,0,1,,2,7,
11266739,0,1,1,2,7,
11267408,0,1,1,2,4,
11267508,0,1,1,2,4,
11267990,0,1,1,2,4,1
11268163,0,1,1,2,4,
11268977,0,1,1,2,4,
11269076,0,1,1,2,7,1
11269343,0,1,1,2,4,1
11269731,0,1,1,2,7,
11269890,0,1,1,2,4,
11269990,0,1,1,2,4,1
11270113,0,1,1,2,4,
11270336,0,1,1,2,4,
11270436,0,1,1,2,4,
11270759,0,1,1,2,4,
11270882,0,1,1,2,4,
11270982,0,1,1,2,7,
11271211,0,1,1,2,4,
11271280,0,1,1,2,7,
11275080,0,1,1,2,4,
11275203,0,1,1,2,4,
11275349,0,1,,2,7,
11275595,0,1,1,2,7,1
11276118,0,1,1,2,4,
11276218,0,1,1,2,4,
11276717,0,1,,2,7,
11276817,0,1,,2,7,1
11276917,0,1,,2,7,
11277009,0,1,,7,7,
11277078,0,1,,7,7,
11277132,0,1,,2,7,
11277232,0,1,,2,7,
11277332,0,1,,7,7,
11277493,0,1,,2,7,
11277837,0,1,,7,7,1
11277960,0,1,,7,7,
11278060,0,1,,7,7,
11278321,0,1,,2,7,1
11278421,0,1,1,2,4,
11278620,0,1,1,2,7,
11278924,0,1,,7,7,
11279283,0,1,1,2,4,
11279375,0,1,,7,7,
11279498,0,1,1,2,4,
11279950,0,4,,,7,
11280172,0,1,,2,7,
11280195,0,1,,2,7,
11280295,0,1,,2,7,1
11280410,0,1,,2,7,
11280962,0,1,1,2,4,
11281085,0,1,1,2,4,
11281253,0,1,1,2,4,1
11281616,0,1,1,2,4,1
11281762,0,1,1,2,4,
11281885,0,1,1,2,4,
11282153,0,1,1,2,7,
11282367,0,1,,7,7,
11282953,0,1,,2,7,
11283179,0,1,1,2,4,
11283973,0,1,1,2,4,1
11284096,0,1,1,2,4,1
11284509,0,1,1,2,4,
11284812,0,1,,2,7,
11284904,0,1,,2,7,
11285127,0,1,1,2,7,
11285227,0,1,1,2,4,
11285357,0,1,1,2,7,
11285578,0,1,1,2,4,
11285768,0,1,,7,7,
11286812,0,3,1,,7,
11287593,0,1,,7,7,
11287862,0,1,,7,7,
11288257,0,1,1,2,7,
11288357,0,1,1,2,7,
11289255,0,3,,,7,
11290511,0,1,1,2,4,
11290580,0,4,,,7,
11291347,0,1,,7,7,
11291447,0,1,,7,7,
11291547,0,1,,7,7,
11291800,0,1,1,2,7,1
11291938,0,1,,2,7,
11292068,0,1,1,2,7,
11292482,0,1,,2,7,
11293965,0,1,,7,7,
11294088,0,1,1,2,7,
11294211,0,1,,7,7,1
11294311,0,1,1,2,7,
11294534,0,1,,2,7,
11294611,0,1,1,2,4,
11294734,0,1,1,2,4,
11294757,0,1,1,2,4,
11294879,0,1,1,2,7,
11295094,0,1,1,2,7,1
11295194,0,1,1,2,7,1
11295294,0,1,1,2,7,
11295417,0,1,1,2,7,
11295517,0,1,1,2,7,
11295863,0,1,1,2,4,
11295963,0,1,1,2,7,
11295986,0,1,1,2,4,
11296086,0,1,1,2,4,
11296186,0,1,1,2,4,
11296409,0,1,1,2,4,
11296509,0,1,1,2,4,
11296609,0,1,1,2,4,
11296693,0,1,1,2,4,
11296793,0,1,1,2,4,1
11296988,0,1,1,2,4,
11298024,0,1,1,2,4,
11298539,0,1,1,2,4,
11298639,0,1,1,2,7,
11298846,0,1,1,2,4,
11299444,0,2,,,7,
11299616,0,1,1,2,4,
11299952,0,1,1,2,7,
11300173,0,1,1,2,7,
11300349,0,1,1,2,4,
11300610,0,1,1,2,7,
11301313,0,1,1,2,4,
11301436,0,1,1,2,4,
11301628,0,1,1,2,7,
11301728,0,1,1,2,4,
11304161,0,1,1,2,4,
11304341,0,1,1,2,4,
11304441,0,1,1,2,4,1
11304541,0,1,1,2,4,
11304571,0,1,1,2,4,1
11304732,0,1,1,2,7,
11305001,0,1,1,2,4,
11305101,0,1,1,2,4,
11305881,0,1,1,2,4,
11305981,0,1,1,2,4,
11308687,0,2,,,7,1
11308968,0,1,1,2,7,
11311821,0,1,1,2,7,
11311921,0,1,1,2,4,
11312044,0,1,1,2,4,
11312274,0,1,1,2,4,
11312374,0,1,1,2,4,
11312574,0,1,1,2,7,1
11316916,0,1,1,2,4,
11317039,0,1,1,2,4,
11317062,0,1,1,2,4,1
11318914,0,1,1,2,4,
11318960,0,1,,7,7,
11319416,0,1,1,2,4,1
11319607,0,1,1,2,4,
11319806,0,1,1,2,4,1
11320190,0,1,1,2,4,1
11320313,0,1,1,2,4,
11320736,0,1,1,2,4,1
11322758,0,1,1,2,1,
11323278,0,1,1,2,7,
11325354,0,1,,2,7,
11325369,0,1,,,10,
11325535,0,2,1,,4,
11325648,0,1,1,2,4,
11327038,0,2,,,,
11327098,0,1,1,2,4,
11328208,0,1,1,2,4,1
11328412,0,1,1,2,12,1
11329646,0,1,,7,7,
11331047,0,1,1,2,4,1
11332314,0,,,7,,
11332664,0,1,,,7,
11334427,0,1,1,2,7,
11335980,0,1,,7,7,
11337018,0,1,,7,7,
11337401,0,2,,,10,
11337439,0,1,,7,7,
11338108,0,1,1,2,7,
11338895,0,1,1,2,7,
11339357,0,1,,7,7,
11340770,0,2,,,7,
11341430,0,1,,,10,
11342040,0,1,1,2,4,1
11342278,0,1,1,2,7,1
11342447,0,1,1,2,4,
11342670,0,1,1,2,4,
11342693,0,1,1,2,4,
11343277,0,1,1,2,7,
11343646,0,1,1,2,4,
11343869,0,1,1,2,4,
11343969,0,1,1,2,4,1
11344069,0,1,1,2,4,1
11344430,0,1,1,2,4,
11344599,0,1,1,2,4,
11345014,0,1,1,2,4,
11345160,0,1,1,2,4,1
11345260,0,1,1,2,4,1
11345583,0,1,1,2,4,1
11345652,0,1,1,2,4,1
11345951,0,1,1,2,1,1
11349562,0,1,,7,7,
11349923,0,1,1,2,4,
11350099,0,1,1,2,4,1
11357433,0,1,,7,7,
11361492,0,1,1,2,4,
11361725,0,1,1,2,7,
11363103,0,1,1,2,7,
11365096,0,1,,,7,
11368067,0,1,,7,7,
11371196,0,1,1,2,4,
11374509,0,1,,,10,
11376957,0,1,,,,
11388382,0,1,,2,4,
11388528,0,1,,7,7,
11388696,0,1,,7,7,
11388842,0,1,,7,7,
11389669,0,1,,7,7,
11390435,0,2,,,7,
11390711,0,1,,7,7,
11391034,0,1,1,2,7,
11391264,0,1,1,2,7,
11391509,0,1,,7,7,
11391877,0,2,,,7,
11392885,0,1,,7,7,
11393329,0,1,,7,7,
11393544,0,1,,7,7,
11393813,0,1,,7,7,
11393936,0,1,,7,7,
11394020,0,1,,7,7,
11394104,0,1,,7,7,
11394127,0,1,,7,7,
11394917,0,1,,7,7,
11395155,0,1,,7,7,
11395262,0,1,,7,7,
11395431,0,1,,7,4,
11395546,0,1,,7,7,
11395684,0,1,,2,4,
11395914,0,1,,7,7,
11396006,0,1,1,2,4,
11396052,0,1,,7,7,
11396342,0,1,,7,7,
11396534,0,1,,7,4,
11396840,0,1,,7,4,
11396924,0,1,,7,7,
11397039,0,1,,7,7,
11397131,0,1,,7,7,
11397146,0,1,,,7,
11397276,0,1,,2,7,
11397367,0,1,,7,7,
11397390,0,2,,,7,
11397528,0,1,,7,7,
11397628,0,1,,7,7,
11397797,0,2,,,,
11398250,0,1,,7,7,
11398403,0,1,,7,7,
11398579,0,1,,7,7,
11398648,0,1,,,7,
11398801,0,1,,7,7,
11399182,0,1,,7,7,
11400814,0,1,1,2,4,
11400944,0,1,,2,7,1
11401120,0,1,,2,7,
11401235,0,1,,7,4,
11401403,0,3,,,,
11401563,0,1,,7,4,
11401662,0,1,,7,4,
11401792,0,1,,2,4,1
11402232,0,1,,7,4,
11402468,0,2,,,7,
11402797,0,1,,7,7,
11403104,0,1,,7,4,
11403173,0,1,,7,7,
11403326,0,2,,,,
11403994,0,1,1,2,4,1
11404047,0,1,,7,7,
11404100,0,3,,,,
11404628,0,1,1,2,4,
11404728,0,1,1,2,4,
11404956,0,1,,7,7,
11405040,0,1,,2,7,
11405101,0,1,,2,7,
11405988,0,1,1,2,1,
11406101,0,1,,7,7,
11406721,0,1,,7,7,
11407203,0,4,,,7,
11407468,0,1,,7,7,
11407521,0,1,,7,7,
11407613,0,1,,7,7,
11407881,0,2,,,7,
11408071,0,1,,7,7,
11408330,0,1,,7,4,
11408476,0,1,,7,4,
11408576,0,1,,7,4,
11408714,0,1,,7,7,
11409066,0,1,1,2,4,
11409166,0,1,1,2,4,1
11409366,0,1,1,2,4,
11409489,0,1,1,2,4,
11410010,0,1,,2,4,
11410194,0,1,,7,7,
11410340,0,1,,2,4,
11410440,0,1,,7,7,
11410540,0,1,,7,7,
11410663,0,1,,7,7,
11410763,0,1,,2,4,
11412233,0,1,,2,4,
11412348,0,1,,7,7,
11412448,0,1,,7,7,
11412571,0,1,,2,4,
11413077,0,1,,7,7,
11413338,0,1,,7,7,
11413848,0,2,,,7,
11413871,0,2,,,7,
11414055,0,2,,,7,
11414147,0,2,,,7,
11414469,0,3,,,,
11414584,0,3,,,,
11414745,0,2,,,7,
11414845,0,1,,7,7,
11414921,0,,,,7,
11415165,0,2,,,7,
11415211,0,1,,7,7,
11415234,0,1,,7,7,
11415387,0,3,,,,
11415563,0,1,1,2,7,
11415586,0,1,,7,7,
11415609,0,4,,,7,
11415731,0,2,,,7,
11416127,0,1,1,2,7,
11416173,0,2,,,7,
11416249,0,1,,7,7,
11416272,0,1,,,7,
11416562,0,1,,,7,
11416685,0,2,,,7,
11416976,0,1,,7,7,
11417243,0,1,,7,7,
11417555,0,1,,7,7,
11417601,0,1,,7,7,
11417624,0,1,,,7,
11417875,0,2,,,7,
11418531,0,1,,7,7,
11418621,0,1,,7,7,
11418888,0,1,,2,4,
11418980,0,1,,2,4,
11419003,0,1,,7,7,
11419133,0,1,,7,7,
11419278,0,1,,7,7,
11419927,0,1,,7,7,
11420111,0,1,,7,7,1
11420218,0,1,,7,7,
11421860,0,3,1,,4,
11422294,0,1,,7,7,
11422416,0,3,,,4,
11422499,0,1,,7,7,
11422794,0,2,1,,4,
11423252,0,4,,,7,
11423290,0,1,,2,4,
11423313,0,1,,7,7,
11423596,0,3,,,,
11423901,0,1,,7,7,
11424492,0,1,,2,4,1
11424538,0,2,1,,7,
11424561,0,1,1,2,7,
11424584,0,1,,2,7,
11424607,0,1,,7,7,
11424788,0,1,,2,4,
11424993,0,4,,,7,
11425356,0,4,,,7,
11425605,0,1,,2,4,1
11425804,0,1,,2,7,
11425963,0,1,,7,7,
11426132,0,1,,7,7,
11426316,0,1,,7,7,
11426416,0,1,,2,4,
11426746,0,1,,7,7,
11427037,0,1,,2,7,
11427083,0,1,,2,7,
11427605,0,1,,2,7,
11427628,0,1,,2,7,
11427674,0,1,,2,7,
11427912,0,1,,7,7,
11428073,0,1,,2,4,
11428325,0,1,,2,7,
11428648,0,1,,2,7,
11428748,0,1,,2,7,
11429042,0,1,,2,7,
11429142,0,1,,2,7,
11429242,0,1,,2,7,
11429342,0,1,,2,7,
11429749,0,1,,2,7,
11429849,0,1,,2,7,
11429994,0,1,,2,7,
11430094,0,1,,2,7,
11430274,0,1,,7,7,
11431192,0,1,,2,4,
11431284,0,1,,2,7,
11431307,0,1,,2,7,
11431766,0,1,,7,7,
11431866,0,1,,2,7,
11432042,0,1,,,7,
11432211,0,1,,7,4,
11432249,0,1,,7,7,
11432456,0,1,,2,7,
11432579,0,1,,7,7,
11433422,0,1,,2,4,
11433675,0,1,,7,7,
11434041,0,1,,2,7,
11434163,0,1,,7,7,
11434263,0,1,,7,7,
11434586,0,1,,7,7,
11434923,0,1,,7,7,
11435046,0,1,,7,7,
11435146,0,1,,7,7,
11435261,0,1,,7,7,
11435584,0,1,,7,7,
11435684,0,1,,7,7,
11435998,0,1,,7,7,
11436089,0,1,,2,7,
11436361,0,1,,7,7,
11436730,0,1,,7,7,
11436830,0,1,,7,7,
11436930,0,1,,7,7,
11436999,0,1,,7,7,
11437076,0,1,,7,7,
11437422,0,1,,7,7,
11437591,0,1,,7,7,
11437714,0,1,,7,7,
11438105,0,2,,,7,
11438243,0,1,,7,7,
11438335,0,2,,,7,
11438810,0,1,,7,7,
11438856,0,2,1,,7,
11439452,0,1,,7,7,
11439498,0,1,,7,7,
11439720,0,1,,2,7,
11440580,0,1,,7,4,
11440956,0,1,,7,4,1
11441163,0,1,,2,4,
11441263,0,1,,2,4,
11441621,0,2,,,7,
11441858,0,3,,,7,
11442408,0,2,,,7,
11442531,0,1,,7,7,
11443097,0,2,,,7,
11443234,0,2,,,7,
11443996,0,1,,2,4,
11444393,0,1,,7,7,
11444973,0,1,,7,7,
11445073,0,1,,2,7,
11445341,0,1,,7,7,
11445456,0,2,1,,7,
11445845,0,1,,7,7,
