parcelid,bathroomcnt,bedroomcnt,lotsizesquarefeet,finishedSqFt,latitude,longitude,lotsizesquarefeet,yearbuilt,LastSoldPrice
12311747,0,0,17595,10030,33943371,-118199640,17595,1985,3784125
12322547,0,0,7936,,33906779,-118177023,7936,,304150
12360147,0,0,2834,3084,33980399,-118206130,2834,1926,265147
12366747,0,0,6369,2029,33975454,-118164470,6369,1944,370250
12371547,0,0,2471,1902,34014159,-118146081,2471,1951,43607
12378747,0,0,5840,1534,34011495,-118115623,5840,1923,274447
12405147,0,0,1163,,33881947,-118064573,1163,,9
12408747,0,0,361,,33878703,-118087837,361,,9
12446947,0,0,3776,2875,33874912,-118168701,3776,1947,200590
12476147,0,0,6500,,33874476,-118127752,6500,,235614
12508747,3,0,19073,9893,33801943,-118157478,19073,2004,1716511
12537947,0,0,13002,171,33770827,-118156513,13002,1973,6817
12549947,0,0,601,,33779270,-118169007,601,,989
12559547,0,0,17359,203,33773611,-118193771,17359,1960,13954
12559747,0,0,8600,8360,33771212,-118191236,8600,2003,1075840
12560547,0,0,88436,20089,33770013,-118192643,88436,1992,1269187
12592347,0,0,,,33824365,-118303282,,,55570
12606547,3,3,22073,2166,33837000,-118347000,22073,2005,659000
12612547,0,0,11168,3725,33795369,-118318560,11168,,578434
12645947,0,0,4386,,33750912,-118284822,4386,,59927
12649147,0,0,4648,,33729436,-118292194,4648,,23448
12665947,0,0,3717,1464,33835697,-118384037,3717,1962,326096
12682747,0,0,6102,2000,33803768,-118349826,6102,1953,491668
12685947,0,0,5774,8444,33799682,-118388346,5774,1952,1072446
12716947,1,3,6021,1244,33953559,-118083855,6021,1950,166927
12757147,2,3,4917,1300,33897134,-118102953,4917,1950,229763
12757947,2,3,5500,1222,33889894,-118100732,5500,1951,286129
12803347,0,0,36740,4880,33980510,-118049973,36740,1969,222657
12835947,0,0,7897,1012,34016009,-117947459,7897,1921,104435
12838747,0,0,22612,7316,34033862,-117948861,22612,1978,1611044
12881347,0,0,8220,,34064241,-117751671,8220,,234519
12996547,0,0,8757,2082,34089943,-118025720,8757,1950,520000
13026147,0,0,,,34143092,-117883804,,,690000
13029947,0,0,63094,43486,34128204,-117874545,63094,1962,3133826
13061547,0,0,157135,,34041235,-117791327,157135,,17648
13113147,0,0,,2652,33984307,-118453193,,,1475668
13113347,0,0,,935,33985192,-118452314,,,326335
13113547,0,0,,1422,33984350,-118452023,,,180370
13114147,0,0,,1120,34680553,-118087153,,1981,
13114347,0,0,,1488,34680553,-118087153,,1978,
13114547,0,0,,1248,34189273,-118545075,,2000,
13114747,0,0,,740,34209694,-118498313,,1961,
13114947,0,0,,912,34044283,-117990464,,1989,
13115147,0,0,,480,34308900,-118461613,,1959,
13115347,0,0,,1344,34276994,-118395527,,1981,
13115547,0,0,,1152,34267763,-118406278,,1970,
13115747,0,0,,2240,34327059,-118465727,,2009,
13115947,0,0,,1716,34327059,-118465727,,2010,
13116147,0,0,,1152,34314483,-118476070,,1984,
13116347,0,0,,1680,34271503,-118467494,,1978,
13116547,0,0,,1040,34245616,-118596393,,1968,
13116747,0,0,,1248,34248085,-118582132,,1972,
13116947,0,0,,1456,34228588,-118592886,,2005,
13117147,0,0,,1196,34233366,-118549198,,2000,
13117347,0,0,,1152,34413580,-118459677,,1970,
13117547,0,0,,1344,34422603,-118490620,,1999,
13117747,0,0,,1484,34422603,-118490620,,2005,
13117947,0,0,,500,34371722,-118558041,,1964,
13118147,0,0,,1120,34410234,-118461971,,1981,
13118347,0,0,,2016,34410234,-118461971,,2006,
13118547,0,0,,1440,34422842,-118424483,,1991,
13118747,0,0,,932,34418546,-118447357,,1983,
13118947,0,0,,1248,34571089,-118065097,,1984,
13119147,0,0,,840,34575492,-118067368,,1982,
13119347,0,0,,800,34561192,-118046994,,1982,
13119547,0,0,,1248,34556011,-118108992,,2000,
13119747,0,0,,1600,34647495,-118231883,,1977,
13119947,0,0,,1248,34760580,-118167523,,1978,
13120147,0,0,,1152,34680513,-118091446,,1995,
13120347,0,0,,1248,34706358,-118101844,,2005,
13120547,0,0,,1248,34707984,-118083448,,2005,
13120747,0,0,,1728,34709046,-118087037,,2003,
13120947,0,0,,960,34702455,-118085622,,1994,
13121147,0,0,,784,34716989,-118109192,,1985,
13121347,0,0,,924,34708502,-118105065,,1986,
13121547,0,0,,920,34708502,-118105065,,1969,
13121747,0,0,,1176,34448823,-118419423,,1992,
13121947,0,0,,1056,34269111,-118463314,,1983,
13122147,0,0,,1440,34007975,-117841778,,1981,
13122347,0,0,,390,33859167,-118367327,,1965,
13122547,0,0,,1440,34351436,-118538253,,1989,
13122747,0,0,,1680,34015545,-118085974,,1981,
13122947,0,0,,1344,34019770,-118789549,,1983,
13123147,0,0,,1344,34007780,-117905626,,1969,
13123347,0,0,,552,34061774,-118075048,,1974,
13123547,0,0,,480,33798094,-118323741,,1978,
13123747,0,0,,2496,34004233,-117850319,,1980,
13123947,0,0,,616,33910911,-118298113,,1986,
13124147,0,0,,1040,33942163,-118171443,,1980,
13124347,0,0,,1296,33906121,-118174218,,1994,
13124547,0,0,,800,33894127,-118177435,,1987,
13124747,0,0,,1008,33900531,-118147274,,1991,
13124947,0,0,,1120,34705741,-118072366,,1967,
13125147,0,0,,800,33767215,-118111307,,1967,
13125347,0,0,,800,33877007,-118310421,,1989,
13125547,0,0,,1440,33867865,-118221492,,1978,
13125747,0,0,,1792,33867865,-118221492,,1978,
13125947,0,0,,1344,33856461,-118083541,,1987,
13126147,0,0,,1056,33829801,-118063545,,1990,
13126347,0,0,,1120,33884149,-118168176,,2002,
13126547,0,0,,1211,33873158,-118187376,,1963,
13126747,0,0,,560,33870913,-118188258,,1981,
13126947,0,0,,720,33887682,-118190625,,1971,
13127147,0,0,,1344,33820454,-118217277,,1981,
13127347,0,0,,1440,33869548,-118262569,,1975,
13127547,0,0,,960,33831074,-118244565,,1997,
13127747,0,0,,1248,33838340,-118265838,,2011,
13127947,0,0,,1040,33869206,-118268576,,1978,
13128147,0,0,,480,33832526,-118283500,,1982,
13128347,0,0,,456,33828543,-118288255,,1990,
13128547,0,0,,960,33809822,-118309254,,1974,
13128747,0,0,,1536,33800045,-118293567,,1972,
13128947,0,0,,960,33781080,-118299618,,1972,
13129147,0,0,,728,33784618,-118250820,,1991,
13129347,0,0,,860,33787905,-118329670,,1980,
13129547,0,0,,1776,33724619,-118326045,,1978,
13129747,0,0,,1392,34052478,-117769754,,1972,
13129947,0,0,,1080,34107015,-117859630,,1997,
13130147,0,0,,1152,33991203,-117892272,,1971,
13130347,0,0,,1744,34238623,-118655270,,1981,
13130547,0,0,,1152,34238428,-118660015,,1983,
13130747,0,0,,1680,33915599,-118031358,,1991,
13130947,0,0,,432,34061123,-118061149,,1968,
13131147,0,0,,840,34047198,-118013567,,1992,
13131347,0,0,,1792,34031186,-118003857,,1990,
13131547,0,0,,1344,34031186,-118003857,,1971,
13131747,0,0,,1120,33990153,-117881843,,1980,
13131947,0,0,,1344,34110741,-117745979,,1990,
13132147,0,0,,1780,34042184,-117750828,,1989,
13132347,0,0,,784,34106128,-117741572,,1968,
13132547,0,0,,840,34093087,-117758576,,1971,
13132747,0,0,,1440,34104010,-117832104,,1992,
13132947,0,0,,1176,34100336,-117821514,,2006,
13133147,0,0,,1344,34097300,-117830650,,1969,
13133347,0,0,,1440,34114031,-117782191,,1976,
13133547,0,0,,1440,34105887,-117841113,,1971,
13133747,0,0,,960,34104778,-117863530,,1979,
13133947,0,0,,784,34098516,-117909131,,1991,
13134147,0,0,,600,34093048,-117870154,,1986,
13134347,0,0,,960,34140750,-117984895,,1988,
13134547,0,0,,1248,34094771,-118030187,,1972,
13134747,0,0,,960,34113493,-117912914,,1984,
13134947,0,0,,1344,34109389,-117878184,,1968,
13135147,0,0,,1440,34133520,-117879368,,1975,
13135347,0,0,,960,34130178,-117833788,,1981,
13135547,0,0,,1536,34111966,-117755447,,1973,
13135747,0,0,,1776,34115061,-117752634,,1976,
13135947,0,0,,1596,34046387,-117815445,,1999,
13136147,0,0,,1040,34021582,-117915892,,1989,
13136347,0,0,,1512,34024753,-117915266,,1998,
13136547,0,0,,1440,33856782,-118220772,,1982,
13136747,0,0,,1344,33856782,-118220772,,1980,
13136947,0,0,,1440,33856782,-118220772,,1980,
13137147,0,0,,1456,34621824,-118224390,,1999,
13137347,0,0,,1056,34619963,-118221259,,2003,
13137547,0,0,,1120,34619963,-118221259,,1985,
13137747,0,0,,1792,34316857,-118401876,,1989,
13137947,0,0,,1200,34558548,-118109732,,1985,
13138147,0,0,,1152,33930195,-118229419,,1977,
13138347,0,0,,1036,34428643,-118482122,,2002,70000
13138547,0,0,,1311,34429346,-118485725,,1992,77400
13871747,2.5,3,2442,1821,33863685,-117938506,2442,2013,529869
13951347,3.5,4,3510,2684,33748083,-117948108,3510,2014,635302
13963347,2.5,3,3398,2284,33687181,-117753231,3398,2014,920319
14097747,0,0,32281,15341,33800071,-118070627,32281,1981,1598867
14281747,0,0,,,33646579,-117902609,,,649273
14310947,3,4,3663,2642,33659879,-117808611,3663,2013,1401383
14356347,0,0,,,33686633,-117751314,,,933060
14358547,0,0,,,33696485,-117724943,,,1671510
14358747,3,4,4554,2536,33700729,-117727933,4554,2014,994000
14459947,2,2,3856,1970,33525974,-117621817,3856,2013,628108
14460147,0,0,,,33528291,-117624187,,,858628
14514547,0,0,,,33746500,-117925000,,,7498
14515347,0,0,,,33746100,-117909000,,,39814
14518947,0,0,,,33799700,-117990000,,,20255
14527747,0,0,,,33726650,-117808465,,,117794
14591347,0,0,,,33827543,-117994994,,,14674
14609147,0,0,,,33863571,-117939666,,,473260
14618747,3.5,3,,1888,33683239,-117758697,,2014,679800
14633147,0,0,,,33695945,-117729931,,,852990
14636347,2.5,3,,1739,33702604,-117734868,,2012,645869
14639947,3,4,,2245,33905285,-117844108,,2014,630347
14683147,2.5,3,,1777,33706165,-117744016,,2014,664593
14707547,0,0,,,33723568,-118051714,,,162926
14723547,4,4,,2380,33736471,-117755999,,2014,385323
14737547,3,3,,1537,33669079,-117672715,,2014,528814
14748947,0,0,,,33621178,-117879309,,,3699630
14755747,0,0,,,33910143,-117847490,,,730239
14762147,2.5,4,,2522,33634949,-117832340,,2012,578666
17061147,0,0,892544,,34430592,-119158001,892544,,563489
17099147,0,0,7125,3733,34355400,-119060000,7125,1925,525000
17257947,0,0,3750,,34260898,-118671161,3750,,27945
17276347,0,0,7750,3280,34167903,-118834113,7750,1960,91722
17303147,0,0,,1440,34422767,-119291147,,1974,
17303347,0,0,,1368,34429402,-119289053,,1971,
17304947,0,0,,900,34262892,-119240051,,1973,
17306947,0,0,,1344,34164815,-119137948,,1971,
17307347,0,0,,,34192481,-119174775,,1967,
17307547,0,0,,660,34164018,-119149643,,1969,
17308947,0,0,,1248,34196427,-118958804,,1970,
17309547,0,0,,1296,34268764,-118671073,,1975,
17310147,0,0,,,34270215,-118691763,,1968,
17311347,0,0,,1536,34339245,-119075181,,1976,
76914147,4,4,96580,5044,34153915,-118480682,96580,1944,4000000
76914347,1,2,5649,725,34274964,-118437079,5649,1953,37548
76914547,1,1,,693,34410721,-118559634,,1989,176899
76914747,2,4,5063,2143,34659491,-118394593,5063,1984,209415
76914947,0,0,,,33913286,-118376591,,,7636050
76915147,0,0,7491,,34029608,-118388946,7491,,2305418
76916747,2,2,,1018,34087460,-117735338,,1987,125000
163187347,0,0,,,34145441,-118249047,,,
17051828,4,4,120226,4969,34433200,-119303320,120226,1989,2195000
17052152,2,3,19323,1800,34464778,-119197656,19323,1932,783000
17052992,1,2,6900,780,34450686,-119278912,6900,1971,87400
17053038,2,2,4125,1250,34448639,-119277621,4125,1978,229920
17053061,1,2,7500,1404,34450089,-119277534,7500,1950,309132
17053543,2,3,10383,1505,34437502,-119265201,10383,1961,595706
17054185,2,3,13539,1181,34437002,-119293151,13539,1961,60087
17054285,3,4,10752,2025,34438707,-119295720,10752,1961,444166
17054331,2.5,4,8531,1620,34440918,-119293909,8531,1967,363915
17054431,2.5,3,22978,2148,34437618,-119287075,22978,1981,292166
17054492,4,4,60548,2840,34452715,-119266845,60548,1966,601622
17054889,3.5,5,63162,3541,34451218,-119254524,63162,1960,919223
17054981,5,4,42688,3760,34449407,-119254052,42688,1982,859741
17055119,2.5,2,1462,1590,34445300,-119253000,1462,1984,420000
17055279,1,2,6661,1089,34450161,-119246690,6661,1929,192470
17055559,1.5,1,11795,1440,34456617,-119240887,11795,1973,386107
17055582,2.5,2,53579,2468,34460706,-119242372,53579,1995,510100
17055674,4,3,40162,2261,34456013,-119239461,40162,1979,755073
17055743,2,3,7108,1444,34454169,-119237898,7108,1951,429608
17055981,1,2,8982,1116,34453114,-119236028,8982,1957,227929
17056295,2,3,8190,1197,34461036,-119236181,8190,1958,283081
17056441,2,3,9750,1204,34460521,-119233963,9750,1961,420003
17056517,1,2,13825,1411,34442894,-119251297,13825,1947,219191
17057038,1,2,10027,1050,34447734,-119217158,10027,1954,149091
17057769,2,2,23086,1754,34461232,-119180816,23086,1962,840854
17057799,2,3,197651,1638,34454777,-119197226,197651,1989,643767
17057897,1,2,41400,924,34437502,-119136748,41400,1950,227394
17058148,2,3,9000,1023,34411071,-119295022,9000,1956,122060
17058568,1,3,6600,1056,34400519,-119297939,6600,1929,186051
17059050,2,3,8000,1583,34419017,-119296402,8000,1961,458473
17059992,2.5,3,71874,2104,34417202,-119291994,71874,1904,430314
17060107,2,4,24139,2245,34420282,-119280220,24139,1963,170562
17060906,1,3,42140,1529,34384437,-119299057,42140,1940,331723
17061227,2,2,217800,1304,34434330,-119140961,217800,1980,932000
17061468,2,4,5663,1607,34383313,-119069587,5663,1973,205100
17061867,2,3,24402,2266,34371870,-119056755,24402,1987,665444
17063007,2,3,11000,1456,34378340,-118936013,11000,1964,175435
17063769,2,3,6600,1746,34407670,-118915735,6600,1966,293148
17064022,2,3,4680,1396,34405131,-118910954,4680,1935,70218
17064099,3,6,24557,2141,34406451,-118906446,24557,1962,69365
17064252,0,0,15000,2464,34408400,-118923000,15000,1954,273813
17064321,1,2,6766,552,34406149,-118924197,6766,1928,61367
17064919,1,3,6730,1080,34398168,-118927194,6730,1955,185307
17064942,1,3,6728,1080,34397172,-118927384,6728,1955,331000
17067589,0,0,8981,1900,34413587,-118794057,8981,,182579
17067815,1,1,71877,704,34401933,-118805341,71877,1948,245178
17068109,1.5,3,2588,1698,34365693,-119448392,2588,1979,282303
17069169,1,3,5783,1058,34444682,-119249197,5783,1959,183117
17069703,0,0,10020,2808,34370526,-119304482,10020,1961,337829
17069749,0,0,27443,2941,34367300,-119307000,27443,1937,271723
17070219,2,3,5940,1688,34336537,-119291142,5940,1958,280826
17070342,2,3,7550,1066,34337843,-119288514,7550,1958,53864
17071090,2,4,12195,1800,34291735,-119205612,12195,1962,74360
17071573,2.5,3,19752,1963,34296359,-119207632,19752,1965,314435
17071718,2,4,7560,1940,34291597,-119215150,7560,1967,721000
17071879,2,4,11185,1844,34288147,-119223240,11185,1973,693925
17071902,2.5,3,8709,1706,34287968,-119221256,8709,1974,253756
17072099,1,3,7018,1176,34297666,-119295692,7018,1928,146117
17072213,2,3,5650,1379,34293632,-119297088,5650,1935,29492
17072870,1,2,5334,816,34296002,-119294355,5334,1928,261275
17072893,1,3,5523,1019,34295141,-119293927,5523,1952,180287
17073008,1,2,6059,870,34293986,-119292402,6059,1929,171856
17073230,1.5,3,7800,1040,34310440,-119289439,7800,1963,285718
17073299,1,3,6825,996,34310575,-119287116,6825,1963,41728
17073391,2,4,7169,1536,34306420,-119290852,7169,1978,386646
17073537,2,3,6885,1392,34304890,-119290234,6885,1979,188750
17073637,2.5,2,,1263,34304496,-119290378,,1985,157254
17073783,2.5,3,1735,1264,34303597,-119287236,1735,1986,191811
17073829,2.5,3,16830,2162,34301573,-119285757,16830,1988,453597
17073952,2,2,,986,34305600,-119284000,,1989,255000
17074134,2.5,4,21988,2016,34289045,-119199457,21988,1977,148884
17074257,2.5,4,15476,3046,34295949,-119203363,15476,1978,246355
17074479,1,5,6376,1040,34289223,-119294543,6376,1924,142114
17074853,1,2,4666,862,34287536,-119301879,4666,1926,158988
17075400,2,3,,1306,34292168,-119301910,,1981,174530
17075613,2,2,15663,1504,34285818,-119277942,15663,1973,410155
17075728,0,0,5500,1469,34283891,-119276563,5500,1927,846529
17076087,2,3,8059,1144,34282851,-119270437,8059,1957,709000
17076210,3,4,6250,2408,34280009,-119268860,6250,1925,420930
17076371,2,2,,1675,34285792,-119286112,,1981,551889
17076648,1,2,4165,950,34280530,-119286855,4165,1930,450000
17076686,2.5,3,6300,1400,34281343,-119285820,6300,1940,482022
17076853,1,2,9343,1348,34280670,-119272889,9343,1926,77077
17077980,2,3,7031,1475,34282565,-119264698,7031,1944,463588
17078080,1.5,2,11099,1245,34282064,-119263274,11099,1965,58250
17078103,3,3,5631,2597,34281332,-119264174,5631,1948,577471
17078502,1,2,5643,1170,34278012,-119257047,5643,1948,584025
17078624,2,3,5643,1767,34276349,-119258095,5643,1927,404098
17078677,2,3,5643,1314,34276822,-119256790,5643,1941,271011
17078692,0,0,6960,1500,34277432,-119254581,6960,1954,331202
17078783,0,0,12569,2035,34280305,-119260479,12569,1959,123451
17078989,3,5,5984,1527,34274617,-119266237,5984,1944,224957
17079209,2,3,5000,1257,34273903,-119273825,5000,1930,455949
17079308,1,2,5438,889,34272868,-119266896,5438,1939,199265
17079346,1,2,6100,1038,34271590,-119265006,6100,1925,39668
17080022,2,2,6324,1102,34268701,-119258436,6324,1951,500000
17080314,2,4,5600,1293,34266377,-119251723,5600,1955,115883
17080644,2,3,6104,1706,34265569,-119255550,6104,1953,526000
17081456,0,0,3388,2028,34267948,-119274407,3388,1968,422029
17081686,2,3,4000,1465,34264986,-119271421,4000,2005,494223
17082043,1,3,7316,1239,34271079,-119251132,7316,1952,425876
17082157,2,3,7200,1445,34280132,-119248487,7200,1957,442892
17082226,2,3,7586,1766,34280810,-119248015,7586,1956,447586
17082694,2.5,4,14537,3054,34280298,-119230767,14537,1962,620721
17082901,1,2,6798,1026,34276290,-119242263,6798,1948,219085
17083061,4,4,9234,2522,34279494,-119236125,9234,1962,146671
17083414,1.5,4,6412,1763,34271564,-119239362,6412,1956,349124
17084238,2,4,7000,1353,34265771,-119239590,7000,1956,104881
17084291,2.5,4,10318,1737,34270278,-119234926,10318,1958,158259
17084452,2,2,1306,1178,34266077,-119242539,1306,1965,145129
17084552,2,3,1306,1459,34266402,-119241564,1306,1965,287634
17084652,2,2,1306,1178,34265650,-119240759,1306,1965,118682
17084789,1.5,4,7465,2003,34261845,-119267911,7465,1965,215209
17084958,2.5,4,4500,2954,34256757,-119265841,4500,1965,152908
17085127,4,4,4500,3002,34256536,-119264908,4500,,1293527
17085396,0,0,8555,2832,34258958,-119261956,8555,1965,447184
17085833,1,3,3591,1148,34261237,-119269730,3591,1956,56036
17085956,1,2,2831,1241,34259634,-119269373,2831,1953,89706
17085979,1,4,4120,1037,34258409,-119269386,4120,1952,61112
17086025,2.5,3,3658,2472,34257809,-119269683,3658,1999,1194000
17086301,2.5,5,7181,2398,34283056,-119226317,7181,1976,141895
17086439,2,3,7944,1441,34280732,-119222397,7944,1957,68758
17086539,2,3,7638,1380,34281888,-119221495,7638,1962,340740
17086562,2,4,19627,2185,34281811,-119219956,19627,1962,107169
17086769,2,4,9050,1771,34280658,-119218790,9050,1957,329732
17086869,2,3,7723,1373,34277720,-119217518,7723,1957,230910
17086969,3,3,7381,1994,34281207,-119214064,7381,1957,410792
17087338,2,3,12777,1275,34275392,-119223781,12777,1958,367768
17087659,2,3,6181,1285,34272867,-119209956,6181,1960,57016
17088082,2,4,9203,1561,34276556,-119221434,9203,1962,278937
17088174,2,4,3850,1344,34275304,-119218571,3850,1974,391000
17088404,2.5,2,,1399,34269771,-119215034,,1981,130036
17088641,2.5,3,,1429,34269460,-119202935,,1985,338015
17088994,1,2,,777,34272866,-119198911,,1990,239679
17090186,2,3,7271,1638,34293297,-119168911,7271,1965,406285
17090585,2,4,7431,1734,34297112,-119169130,7431,1977,493000
17090869,3,3,8205,2230,34282542,-119189007,8205,1995,628000
17091069,2,3,6000,1766,34285504,-119192525,6000,1995,320292
17091092,2.5,4,6000,1866,34285192,-119191602,6000,1995,585000
17091192,2,4,11500,1581,34271740,-119178217,11500,1964,275463
17091307,2,4,11710,1669,34274024,-119167058,11710,1964,60088
17091430,2.5,5,7275,1718,34275619,-119177647,7275,1964,281767
17091607,3,4,8400,1988,34271680,-119175136,8400,1964,316258
17091730,3.5,5,7056,2470,34270896,-119180781,7056,1965,317363
17092083,3,4,5533,2457,34272451,-119186108,5533,1986,601000
17092710,3,4,6325,2477,34278339,-119193139,6325,1999,534680
17092810,3,4,6105,2048,34277542,-119193355,6105,1998,608000
17092856,2,3,7920,1244,34280679,-119186013,7920,1959,245123
17092956,2,3,7920,1244,34277503,-119185802,7920,1959,253532
17093317,2,4,6159,1550,34277441,-119186801,6159,1963,61682
17093555,3,4,6386,1854,34280424,-119179472,6386,1968,78559
17093655,2,3,6437,1502,34277875,-119177561,6437,1972,252923
17093678,2.5,4,6739,2343,34279050,-119179776,6739,1968,435456
17093778,2.5,5,8886,2083,34279172,-119183740,8886,1968,88590
17093924,2,3,6300,1502,34280827,-119184952,6300,1975,203965
17094047,3,4,6379,2622,34278824,-119176282,6379,1991,535297
17094138,2,3,14810,1556,34285531,-119160781,14810,1960,438590
17094421,2,3,6060,1359,34281607,-119161429,6060,1973,59065
17094444,2,3,7548,1350,34281330,-119163381,7548,1974,86055
17094690,0,0,4509,1140,34277100,-119164000,4509,1984,253000
17094790,2,2,4643,1274,34279684,-119168741,4643,1987,323978
17095833,2.5,4,9103,2170,34296168,-119153520,9103,1994,333244
17096600,2,3,5275,1433,34338452,-119092803,5275,1989,344774
17096764,2,2,7824,1380,34338730,-119084213,7824,1959,56124
17097242,2,3,8450,1331,34360608,-119065780,8450,1954,51273
17097342,1,2,5820,1372,34361422,-119063209,5820,1930,122445
17098189,2,4,6830,1492,34376362,-119064108,6830,1963,258906
17098427,2,3,13045,2136,34369474,-119057018,13045,1961,396427
17098496,2,4,10000,1895,34368347,-119056979,10000,1963,373097
17098688,0,0,6250,1936,34363223,-119054804,6250,1961,84840
17098963,2,3,5885,1146,34360139,-119055706,5885,1984,94582
17099221,1,2,2730,768,34354462,-119055994,2730,1973,185197
17099433,1,3,7417,840,34351569,-119055324,7417,1936,161373
17100192,2,4,8409,1877,34351086,-119089884,8409,1966,455520
17100268,2,3,4121,1381,34343735,-119080682,4121,1986,234634
