zpid,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount
11121609,2,3,2,1526,6688,34456595,-118499417,1978,404000
11121947,3,4,3,2322,19042,34463001,-118491738,1979,424238
11122047,3,4,3,2566,40122,34445258,-118496462,1984,383957
11122147,3,4,3,2070,12220,34446074,-118502389,1986,489000
11122316,3,4,3,2240,6678,34447151,-118490379,1983,384226
11122339,2,3,2,1194,7866,34438183,-118485747,1984,216206
11122439,2,3,2,1428,9928,34440165,-118483442,1984,335789
11122608,3,4,3,2730,10405,34451461,-118490080,1993,425667
11122731,3,4,3,3023,4948,34460755,-118488058,1989,416506
11122900,3,4,3,2403,5164,34462452,-118486885,1988,302259
11127233,2,1,2,1257,8987,34278669,-118597835,1992,216956
11127413,4,4,4,3424,12466,34297102,-118547478,1966,746201
11127513,3,4,3,2366,9513,34297609,-118542288,1966,128264
11128217,7,5,7,7274,86881,34281619,-118618706,1996,2783200
11128812,3,3,3,1598,362718,34274900,-118550000,1980,446000
11128912,3,2,3,1282,314954,34273900,-118550000,1983,348581
11129135,3,5,3,2494,8698,34281919,-118550245,1974,147903
11129235,3,4,3,2301,10470,34280352,-118548463,1974,510247
11129335,3,4,3,2301,11327,34279011,-118549527,1975,429197
11129435,2,3,2,1263,5956,34458130,-118534298,1977,166254
11129481,3,3,3,1733,7082,34458872,-118535732,1983,323682
11129581,2,3,2,1263,9700,34457181,-118538763,1983,399000
11129781,2,4,2,1624,6047,34455077,-118536064,1979,164407
11129904,2,4,2,1624,6597,34452251,-118539003,1978,357108
11130004,2,3,2,1263,5738,34452181,-118535714,1978,352720
11130142,2,3,2,1500,7993,34366575,-118554089,1966,443691
11130365,3,4,3,2288,11249,34365578,-118548068,1979,282434
11130464,3,3,3,1278,109001,34377633,-118560458,1979,212132
11130487,2,2,2,988,398589,34377309,-118558682,1966,175890
11130587,1,1,1,827,398589,34376457,-118557246,1966,178020
11130656,2,3,2,2040,6655,34376238,-118560546,1976,226794
11131551,3,4,3,2312,7449,34373852,-118565406,1987,553900
11131574,3,4,3,2312,9795,34371714,-118564840,1987,244495
11131643,3,4,3,2312,7581,34373099,-118568524,1987,503099
11131843,2,4,2,1541,5630,34390097,-118586077,1995,481000
11131943,2,2,2,1286,183464,34388066,-118580495,1990,266369
11132535,3,3,3,2370,12488,34385781,-118584521,1989,442840
11132635,3,4,3,2970,5610,34385084,-118588324,1995,477688
11132965,2,2,2,963,103607,34388000,-118577000,1990,229919
11133065,3,2,3,1769,4523,34387502,-118577585,1990,355516
11133188,2,3,2,1361,5910,34385131,-118578341,1996,255700
11133288,2,2,2,1127,40999,34389500,-118588000,1991,321768
11133557,3,4,3,2686,6813,34391809,-118595059,1996,424234
11133626,3,4,3,2932,5942,34395031,-118591601,1997,471897
11133987,3,3,3,2149,8601,34394400,-118586466,1998,343153
11134282,3,4,3,3095,13000,34376437,-118571627,1997,705800
11134597,3,4,3,2262,11489,34384521,-118594110,1999,383385
11137387,3,4,3,3699,108010,34367907,-118531201,1964,1208347
11137433,2,3,2,1600,9763,34370672,-118532185,1961,557380
11137479,3,4,3,1929,12072,34369651,-118534454,1958,496422
11137899,4,3,4,3140,6731,34359313,-118540192,1984,574574
11137922,3,4,3,2930,15781,34359833,-118540056,1984,452538
11137945,3,4,3,3059,11042,34364708,-118543351,1987,618000
11137968,5,4,5,3757,8044,34365099,-118543328,1987,606769
11139026,3,4,3,3409,9239,34376523,-118543667,1989,382273
11139217,3,3,3,2540,12592,34373319,-118534610,1960,394535
11139469,2,2,2,1606,8522,34372976,-118541841,1976,316323
11139891,2,3,2,2816,19525,34371285,-118534727,1934,472570
11140216,2,4,2,1716,4687,34378747,-118523434,1998,124248
11140527,3,3,3,2138,22545,34383265,-118516036,1964,586076
11140740,3,3,3,1265,181847,34368700,-118510000,1984,176769
11141250,2,2,2,888,132272,34378100,-118511000,1990,215500
11142135,3,4,3,2747,111446,34390528,-118524386,1980,724966
11143129,2,2,2,925,231200,34402763,-118483611,1984,287531
11143252,2,2,2,1419,516746,34404499,-118486053,1985,326393
11143500,3,3,3,1466,426781,34406612,-118485933,1993,355487
11143523,3,4,3,1882,462910,34417227,-118487253,1986,249061
11143623,3,3,3,1471,200375,34416110,-118483558,1988,300888
11143723,3,4,3,1882,453252,34414222,-118482891,1985,297132
11144269,2,2,2,907,815788,34420900,-118489000,1988,224000
11144392,2,2,2,910,815788,34420900,-118489000,1988,219919
11144515,2,3,2,964,532639,34418400,-118489000,1988,130636
11144615,2,2,2,910,532639,34418400,-118489000,1986,145330
11144684,3,3,3,1635,7857,34402515,-118531118,1986,339657
11144784,3,3,3,1635,9435,34401016,-118531902,1987,507700
11144853,3,4,3,1877,6168,34400707,-118526823,1987,321502
11144976,3,3,3,1505,3418,34398920,-118477858,1988,307289
11145337,2,3,2,970,236712,34398300,-118482000,1989,247000
11145414,2,2,2,964,461495,34416800,-118491000,1987,218274
11145514,2,3,2,994,461495,34416800,-118491000,1989,154726
11146618,2,3,2,1572,6857,34435901,-118404738,1968,161428
11146864,3,4,3,2176,7037,34431890,-118404007,1968,470900
11146987,3,4,3,1601,297252,34429086,-118413502,1982,284612
11147110,3,3,3,1838,392023,34430554,-118411500,1983,273803
11147210,2,3,2,944,335575,34431093,-118407997,1983,217216
11147379,3,4,3,1911,157951,34435082,-118406036,1988,312505
11147899,2,3,2,1125,130137,34424471,-118426441,1980,320000
11147991,3,5,3,2354,8778,34428207,-118427825,1969,249050
11148264,2,3,2,1479,12067,34430712,-118426662,1966,141308
11148633,3,4,3,2217,20203,34426960,-118432878,1980,353541
11148733,2,3,2,1348,66799,34433290,-118428880,1984,275810
11152532,2,4,2,1400,10319,34400644,-118469283,1965,147591
11152724,2,3,2,1192,7429,34395152,-118469636,1966,252924
11152816,3,4,3,1844,11649,34396196,-118471445,1966,151677
11153008,3,5,3,1862,9716,34392813,-118477679,1968,325439
11153115,3,3,3,1132,125129,34402100,-118464000,1992,209143
11153215,3,3,3,1176,112113,34402200,-118467000,1990,172440
11153537,3,3,3,1176,111062,34403500,-118467000,1990,285594
11154037,3,3,3,1268,91867,34415100,-118446000,1984,153907
11154481,2,3,2,1556,8697,34421700,-118434605,1970,266625
11154595,3,4,3,2151,11293,34422477,-118439459,1985,515000
11154818,2,2,2,848,125051,34422400,-118449000,1984,200000
11155418,3,3,3,1521,111809,34415100,-118447000,1984,270000
11155518,3,2,3,1127,119805,34415000,-118449000,1985,141087
11156078,2,2,2,1085,55080,34406300,-118452000,1993,181218
11156524,2,2,2,1120,2398,34314416,-118370287,1948,97256
11157205,5,5,5,4210,93204,34394303,-118409249,1981,1100400
11157771,3,4,3,2211,7693,34442614,-118507951,1971,292080
11157863,2,3,2,1546,3812,34442691,-118509611,1971,380000
11158231,2,3,2,1188,5965,34430655,-118529998,1963,155361
11159747,2,2,2,1041,676029,34389300,-118562000,1971,175807
11159847,1,1,1,722,676029,34389300,-118562000,1977,158095
11159947,2,2,2,1054,2176,34390032,-118559352,1975,327000
11160223,3,5,3,2807,51591,34382159,-118557305,1977,305801
11160505,2,3,2,1156,8489,34456677,-118388222,1974,167611
11160780,2,3,2,1342,7760,34441932,-118388864,1996,250174
11160872,2,3,2,1043,8567,34443408,-118392597,1969,173787
11160972,2,4,2,1681,7215,34445547,-118396574,1970,368212
11161095,2,4,2,1635,7196,34445456,-118392011,1969,448280
11161202,2,4,2,1362,7335,34446705,-118389857,1973,382000
11161225,2,3,2,1201,6705,34449298,-118388979,1978,295353
11161663,3,4,3,2450,8562,34449812,-118394426,1989,368745
11161763,3,3,3,1828,5152,34443803,-118388761,1992,442000
11161909,3,4,3,2363,6077,34439149,-118386182,1996,396010
11161955,3,4,3,2104,15517,34441973,-118383404,1997,375816
11162101,3,5,3,2292,26948,34435289,-118381430,1998,425375
11162865,2,4,2,1783,6154,34388737,-118537141,1954,316295
11163046,2,3,2,1036,5539,34384280,-118534655,1932,293150
11163183,1,2,1,1144,7387,34381755,-118536100,1956,228143
11163942,2,3,2,1429,5782,34387033,-118545476,1968,294623
11164241,3,5,3,2327,6694,34385932,-118555546,1968,555888
11164571,2,4,2,1743,6419,34381133,-118554625,1968,338508
11164694,2,3,2,1769,5815,34388307,-118550150,1972,393327
11164840,2,3,2,1196,4931,34393443,-118557101,1976,365165
11165032,4,6,4,2320,5763,34392876,-118552576,1969,175734
11165055,3,4,3,2225,5729,34391884,-118551008,1973,550000
11165224,3,4,3,2354,6483,34389767,-118552832,1975,367984
11165247,3,3,3,2246,6180,34389113,-118555567,1976,166167
11165393,2,3,2,1051,4806,34392786,-118558594,1976,313429
11165653,2,3,2,1514,6344,34393843,-118549146,1974,227966
11165799,2,3,2,1514,5643,34394365,-118547701,1971,271013
11166160,2,2,2,1426,5689,34398760,-118542766,1974,71271
11166260,2,3,2,1540,6691,34389280,-118543397,1977,371010
11166890,2,3,2,1018,3478,34403236,-118541369,1979,339825
11166990,2,2,2,864,4038,34402618,-118540679,1979,356992
11167013,2,2,2,864,3591,34404466,-118543487,1982,356200
11167205,2,4,2,1857,7110,34406150,-118547691,1984,313119
11167351,3,4,3,2025,7047,34404274,-118544679,1982,349775
11167497,2,3,2,1128,3360,34407542,-118541626,1984,354894
11167932,2,4,2,1324,5531,34396464,-118557771,1978,302891
11168039,3,3,3,1718,5728,34409047,-118550883,1984,398140
11168185,2,2,2,864,3550,34410180,-118543165,1984,228999
11168231,2,2,2,864,6765,34411665,-118545382,1985,238078
11168331,2,3,2,1336,5040,34412284,-118547796,1985,357109
11168354,2,3,2,1614,5523,34411098,-118547434,1985,545688
11169022,2,3,2,1920,716115,34400700,-118562000,1989,376479
11169122,2,3,2,1678,5187,34397662,-118563988,1986,437060
11169482,2,2,2,940,531830,34412300,-118552000,1986,225740
11169805,2,2,2,922,642861,34403000,-118553000,1988,280000
11169905,2,2,2,922,642861,34403000,-118553000,1988,185196
11169974,5,6,5,3648,8163,34407904,-118558857,1988,742954
11170542,1,1,1,801,315437,34405000,-118557000,1988,206457
11170742,2,2,2,925,842267,34410700,-118561000,1989,195765
11170842,2,2,2,970,842267,34410700,-118561000,1989,198613
11170988,2,2,2,1000,842267,34410700,-118561000,1989,285000
11171088,1,1,1,835,842267,34410700,-118561000,1989,218300
11171188,1,1,1,835,842267,34410700,-118561000,1989,218300
11171288,2,2,2,1052,351525,34411900,-118563000,1989,159847
11171388,1,2,1,1164,351525,34411900,-118563000,1989,153577
11172709,2,2,2,864,353084,34404100,-118470000,1964,94057
11172832,2,2,2,864,281364,34403500,-118472000,1963,150000
11172955,2,2,2,864,507315,34402100,-118472000,1963,154000
11173078,0,0,,158,507315,34402069,-118470708,1963,892
11173193,2,2,2,1178,572907,34403164,-118478734,1970,266794
11173639,2,4,2,1969,9210,34406230,-118481464,1998,511000
11173662,3,4,3,2243,9314,34407296,-118477276,1997,457000
11174226,1,2,1,960,18036,34491179,-118622957,1948,302000
11174249,3,3,3,1536,9874,34491133,-118620630,1962,223776
11174415,2,3,2,1385,6549,34489987,-118626237,1981,194909
11174761,3,3,3,1467,8230,34502730,-118628762,1987,250003
11175217,2,3,2,1319,9314,34504125,-118629871,1986,196528
11175340,3,3,3,1515,15798,34506383,-118635862,1987,380203
11175463,2,3,2,1711,689611,34487810,-118630618,1988,322837
11175486,3,3,3,1836,6963,34487467,-118635622,1989,404369
11175586,3,3,3,2115,8273,34484222,-118636448,1989,391374
11176055,3,5,3,2197,6118,34474327,-118626279,1995,450827
11176178,3,3,3,1851,5171,34471224,-118628929,1995,317140
11176301,3,4,3,2361,6274,34472767,-118630456,1998,405266
11176478,3,4,3,2851,15461,34469977,-118634349,1998,409210
11176647,2,3,2,2008,4302,34502766,-118617609,2000,435000
11176816,2,4,2,2358,6344,34505298,-118623755,2000,358612
11176839,3,4,3,2991,7454,34505454,-118619624,2000,404742
11176862,4,5,4,3205,5270,34506680,-118622803,2000,537944
11177658,3,4,3,1621,5559,34449372,-118618681,1986,437059
11178147,3,3,3,1512,5140,34448580,-118621435,1987,214981
11178193,3,3,3,1522,5115,34448704,-118618615,1986,244634
11179711,3,4,3,2435,11146,34295078,-118540295,1969,432540
11179811,2,3,2,1560,9953,34290531,-118535806,1973,283915
11179934,3,3,3,1534,4397,34276790,-118533165,1982,258537
11179980,3,4,3,3273,10730,34280109,-118530007,1987,630064
11180080,4,5,4,4300,11012,34281695,-118532645,1986,671058
11180303,3,4,3,3191,17446,34288979,-118534469,1984,489149
11180464,3,4,3,2035,7856,34280970,-118541464,1972,489257
11180587,2,3,2,1429,7668,34281412,-118541094,1972,412516
11180687,2,3,2,1685,11551,34278549,-118537460,1973,115179
11180910,3,5,3,2410,10940,34276066,-118538480,1965,693585
11181056,3,4,3,2597,20664,34289413,-118549704,1976,231757
11181754,2,3,2,2304,134079,34627974,-118197605,1983,310532
11182400,2,3,2,1798,9774,34622333,-118212170,1986,172380
11182500,2,3,2,1732,7471,34622958,-118215928,1987,187504
11182769,3,5,3,2415,6621,34612725,-118187174,1989,251364
11182869,3,3,3,2098,6635,34611923,-118188334,1994,294000
11183061,2,3,2,1494,7622,34617154,-118215601,1989,58088
11183476,2,3,2,1600,7127,34607414,-118182756,1991,159586
11184045,3,4,3,2602,7016,34618732,-118185440,1990,233610
11184145,2,3,2,1578,6583,34617957,-118206205,1990,231000
11184245,3,4,3,2371,7586,34616134,-118185743,1992,283911
11186936,2,3,2,1673,7442,34612596,-118184808,1992,58900
11184300,2,3,2,2019,7749,34610367,-118185074,1990,258200
11184400,3,3,3,2175,14958,34625797,-118216310,1990,275875
11184523,3,4,3,2838,20059,34610623,-118183680,1991,357000
11185014,2,3,2,2044,20041,34623911,-118231508,1997,358611
11187392,2,3,2,1590,7447,34601364,-118151890,1957,181556
11188167,2,3,2,1312,7128,34593447,-118154862,1977,193795
11188190,2,4,2,1317,10894,34596849,-118148637,1980,127050
11188290,3,3,3,1272,98564,34596200,-118148000,1993,108992
11188474,2,3,2,1457,7540,34601442,-118167168,1987,185636
11188597,2,3,2,1280,6825,34598142,-118168144,1989,191000
11188697,3,4,3,2302,7097,34596049,-118166802,1989,198566
11188893,3,4,3,2287,7593,34601671,-118191315,1989,185984
11188993,3,4,3,2287,8018,34601654,-118188240,1989,201432
11189093,3,4,3,2287,7024,34600480,-118185666,1989,210995
11189516,3,5,3,2021,8169,34600255,-118158860,1988,275000
11189739,3,3,3,2212,6952,34599633,-118180875,1989,228955
11189839,3,5,3,2431,7046,34589719,-118161620,1990,236394
11189923,3,3,3,2021,7484,34588609,-118175627,1990,245000
11190023,3,4,3,2368,9558,34600061,-118177331,1990,278500
11190123,2,4,2,2112,7014,34600822,-118163340,1990,193321
11190307,2,3,2,1374,7236,34599771,-118174274,1995,166766
11190407,2,4,2,2057,8328,34598912,-118161945,2003,189746
11190507,3,5,3,2846,7108,34595039,-118172107,1998,202728
11191913,2,3,2,1980,10554,34586362,-118149883,1956,184000
11192013,2,4,2,2149,7622,34585608,-118151148,1957,60739
11192113,3,4,3,2098,9358,34580792,-118153063,1995,194374
11192263,2,3,2,1505,7811,34578982,-118138412,1980,229000
11192386,2,3,2,1772,7179,34577059,-118141855,1981,214492
11192493,2,3,2,1290,6010,34572985,-118138149,1986,150566
11192616,2,3,2,1759,8758,34576248,-118133233,1989,186823
11193146,2,4,2,2452,6987,34578834,-118143368,2001,243000
11193892,1,2,1,728,110747,34612430,-118150736,1951,183000
11194343,3,3,3,2342,8452,34604564,-118140751,1965,271000
11194681,2,3,2,1451,256276,34610765,-118130880,1981,185000
11195207,1,2,1,996,8185,34589533,-118121052,1951,74958
11195390,2,3,2,1120,8113,34590402,-118128043,1955,118853
11195572,1,2,1,804,6898,34600178,-118126804,1957,62318
11195694,3,3,3,1475,321292,34612014,-118128014,1992,134248
11195927,2,3,2,1280,6929,34584446,-118128435,1985,151000
11196552,2,4,2,1498,10745,34583474,-118128035,1968,153000
11197457,2,4,2,1344,9736,34567306,-118123395,1955,95901
11197557,2,3,2,1320,6944,34565457,-118123105,1951,97810
11197657,2,3,2,1453,7478,34562661,-118123012,1969,158000
11198012,3,3,3,1557,6642,34569259,-118126683,1984,194128
11198112,2,3,2,1206,6574,34567785,-118131003,1987,122229
11198258,2,3,2,1509,6439,34564790,-118117766,1988,183000
11198358,2,3,2,1229,10524,34561525,-118118675,1988,144991
11198665,2,3,2,1097,6954,34567698,-118106253,1957,136000
11198834,2,3,2,1608,8190,34569653,-118106221,1954,150800
11198934,2,4,2,1150,7912,34571829,-118099538,1954,36467
11199217,2,3,2,1134,6926,34570018,-118093349,1983,127537
11199317,2,3,2,1360,7042,34564248,-118095038,1984,153648
11199609,2,3,2,1710,7792,34563075,-118095431,1985,185485
11199709,2,3,2,1085,7135,34560960,-118097521,1986,107102
11200001,3,3,3,1452,6627,34562671,-118098950,1987,135930
11200170,3,4,3,2100,10331,34566701,-118100568,1989,193800
11200316,3,3,3,2059,8048,34562128,-118104486,1991,169059
11200680,2,3,2,1562,7268,34576879,-118103472,1987,106553
11200831,1,2,1,900,6170,34578645,-118100350,1952,68745
11201115,1,3,1,1138,6423,34577011,-118093581,1954,42113
11201548,2,3,2,1454,12763,34582091,-118106329,1957,107400
11201874,1,3,1,1014,6521,34581775,-118095538,1954,121000
11201973,1,3,1,983,6203,34585888,-118093016,1953,124000
11202165,2,3,2,1400,8346,34582620,-118092537,1955,73771
11202530,3,4,3,2034,7459,34584030,-118076914,1987,189615
11202748,2,3,2,1311,1457,34583600,-118089000,1987,37887
11202871,3,4,3,2000,7027,34573039,-118082167,1989,160844
11203469,2,3,2,1481,6971,34572063,-118081734,1965,153780
11203638,2,3,2,1148,7139,34568071,-118080400,1969,155500
11203738,2,3,2,1100,4095,34565974,-118076838,1973,123000
11203938,2,3,2,1248,7212,34559639,-118075728,1983,96600
11204061,3,3,3,1522,4554,34567117,-118087598,1988,157000
11204107,2,3,2,1482,4671,34567711,-118091698,1985,150500
11204276,3,3,3,1632,8519,34564877,-118089960,1985,112500
11204376,3,3,3,1995,11360,34562375,-118090760,1985,199115
11204883,2,3,2,1134,7786,34561653,-118090794,1986,118617
11204906,3,3,3,2052,7656,34562811,-118087212,1986,208467
11205577,2,2,2,1320,4494,34564852,-118062196,1983,163196
11205700,2,3,2,1158,8617,34567562,-118074023,1985,161500
11206023,2,2,2,1101,5476,34566360,-118067254,1984,107036
11206269,2,2,2,1065,6703,34561366,-118062673,1986,119388
11206761,2,4,2,1498,6841,34566822,-118061686,1988,104809
11206861,2,3,2,1692,7062,34560720,-118059593,1988,150001
11206961,3,4,3,2153,7335,34577207,-118068364,1990,144990
11207084,3,5,3,2108,6989,34571619,-118070151,1998,180997
11207184,2,4,2,1980,14120,34569688,-118074869,1998,29159
11207825,2,3,2,1041,7047,34585331,-118064749,1956,60266
11208094,1,3,1,1064,7199,34582520,-118069182,1955,53695
11208163,2,3,2,1141,7797,34581471,-118070182,1956,67767
11208286,1,3,1,916,6088,34583515,-118073757,1954,83990
11208977,2,2,2,1412,5783,34587473,-118115225,1953,140246
11209327,3,3,3,1733,7138,34567718,-118041262,1989,148567
11209664,2,3,2,1198,7816,34559020,-118032153,1984,150078
11210062,3,3,3,1793,7921,34560405,-118053217,1988,166011
11210162,3,3,3,1969,7179,34566303,-118042220,1986,135643
11210408,2,3,2,1136,7058,34568225,-118046327,1986,102854
11210508,2,3,2,1402,8110,34569270,-118039960,1986,144990
11210531,2,3,2,1406,6593,34566641,-118040430,1984,140819
11210731,2,3,2,1668,11436,34564413,-118050148,1987,186777
11210900,2,3,2,1404,7212,34569524,-118038766,1987,151903
11211092,2,3,2,1592,6586,34568583,-118034635,1988,157233
11211192,2,4,2,1650,7011,34562499,-118050802,1988,187502
11211707,3,3,3,2018,6594,34563546,-118032558,1989,213000
11211930,2,3,2,1150,7156,34574135,-118056987,1988,156000
11212176,2,2,2,1362,6604,34564314,-118026629,1998,114959
11212276,2,3,2,1343,6857,34564329,-118030024,1997,120002
11212451,3,4,3,1780,6974,34567735,-118026613,1990,208500
11212551,3,4,3,1921,7988,34571172,-118025998,1990,178022
11212651,2,3,2,1281,8513,34570924,-118039038,1989,131563
11212974,2,3,2,1549,7011,34574579,-118053299,1990,192799
11213174,3,3,3,1339,271458,34572200,-118053000,1989,136800
11213274,2,3,2,1631,7030,34559561,-118048049,1989,135395
11213581,3,6,3,3319,7041,34560283,-118027452,2000,238937
11213904,2,3,2,1490,6559,34574495,-118048833,1995,191000
11214004,3,4,3,2323,7393,34564997,-118023657,1990,219000
11214104,2,3,2,1524,7799,34574906,-118032588,1990,162240
11214242,3,4,3,2042,7578,34558691,-118040155,1994,219000
11215790,2,4,2,1579,7007,34560253,-118018800,1994,185000
11218080,2,4,2,1644,52744,34581809,-117972283,1957,74999
11218661,1,3,1,1210,54831,34582297,-117961278,1984,65512
11219331,2,4,2,2568,229813,34578074,-117866146,1972,154568
11219421,2,3,2,1134,39410,34585295,-117855601,1984,126000
11219444,2,3,2,1402,39508,34586553,-117848885,1986,114708
11225404,2,3,2,1571,39941,34563942,-117939312,1956,81337
11226431,2,4,2,1771,40997,34564320,-117958324,1989,193795
11226531,2,4,2,1771,42590,34559515,-117954707,1989,136159
11226699,2,3,2,1862,62798,34553348,-117964885,1992,161731
11227707,2,3,2,1664,21049,34556638,-117960907,1991,148567
11227776,2,4,2,1972,39592,34539790,-117972788,1980,151633
11227921,2,2,2,1080,40055,34536185,-117960947,2000,134377
11228340,1,3,1,912,18027,34530720,-117967825,1959,90963
11228363,2,4,2,1508,38538,34528915,-117968815,1959,101018
11230147,2,3,2,1383,11295,34531809,-117983030,1986,110618
11230358,1,3,1,1475,29044,34518081,-117982191,1955,65631
11230494,2,3,2,1302,10308,34520002,-117991340,1988,148082
11230742,2,3,2,1008,8029,34526287,-117997981,1958,146304
11230811,2,3,2,1240,8123,34524853,-117996186,1986,125478
11231463,2,3,2,2145,149040,34529144,-118030037,1965,307287
11231630,2,3,2,1127,4975,34551901,-118039572,1988,169000
11231753,2,3,2,1327,5054,34551233,-118036244,1989,182000
11231853,2,3,2,1127,4899,34550598,-118034449,1990,170000
11231930,2,3,2,1327,4904,34550610,-118031227,1990,100260
11232326,2,3,2,1478,5671,34553531,-118031643,1996,130051
11232572,2,3,2,1366,6661,34553825,-118028035,1992,133523
11233833,3,4,3,2581,7652,34548111,-118072716,1991,272000
11233971,2,4,2,1451,5249,34556599,-118069300,1983,99283
11233994,2,4,2,1451,4655,34556391,-118070764,1983,184000
11234294,2,4,2,1742,9499,34554393,-118065044,1988,198895
11234517,2,3,2,1274,7464,34556395,-118068332,1985,140658
11234663,2,4,2,1521,7126,34557176,-118074201,1985,211000
11234763,2,4,2,1385,9345,34553713,-118071108,1987,156708
11235070,2,2,2,876,6937,34553618,-118076143,1989,133000
11235393,3,4,3,2196,7619,34544848,-118074813,1990,182284
11235923,2,3,2,1264,7491,34543353,-118061697,1991,134251
11236092,3,3,3,2581,7672,34545320,-118066630,1993,265000
11236192,3,3,3,2270,7101,34554918,-118061077,2001,248000
11236561,2,3,2,1837,7187,34555571,-118056403,1993,222000
11236776,3,6,3,2592,7013,34546227,-118052765,1998,254995
